xml:id	Lemma	Lemma_bereinigt	Wortart	Level	Definition	Konzept	Begriff	Top_1	Top_3	Top_5
EL01179	Lur(e), Lür	Lure, Lur, Lür	Substantiv	2.	ein Getränk, im Herbst aus wilden Früchten und etwas Wein hergestellt	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Brühe; Geplämpe; Geschlapp; Lorke; Lurke; Plampel; Plempe; Plämpe; Plörre	Ganzfruchtgetränk	Ganzfruchtgetränk; Obstwein; Fruchtwein	Ganzfruchtgetränk; Obstwein; Fruchtwein; Rebensaft; Fruchtnektar
EL01179	Lur(e), Lür	Lure, Lur, Lür	Substantiv	3.	schlechter Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Fruchtwein; Obstwein	Fusel	Fusel; Kurzer; Branntewein; Schnaps	Fusel; Kurzer; Branntewein; Branntwein; Schnaps
EL01179	Lur(e), Lür	Lure, Lur, Lür	Substantiv	1.	leichter Wein, hergestellt durch Vermischen mit Wasser	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Rebensaft	Rebensaft; Wein; Weinwarm	Rebensaft; Wein; Weinwarm; Tafelwein; Gänsewein
EL01180	Lappenlur(e), Lappenlür	Lappenlure, Lappenlur, Lappenlür	Substantiv	1.	schwacher, saurer, matter, verwässerter Wein oder Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein 	Brühe; Geplämpe; Geschlapp; Kaffee; Lorke; Lurke; Plampel; Plempe; Plämpe; Plörre; Wein	Geplämpe; Caro-Kaffee; Gesöff; Pumpenheimer; Lurke; Geschlapp	Geplämpe; Plampel; Plörre; Caro-Kaffee; Kaffee; Ballerbrühe; Geschlapp; Gesöff; Pumpenheimer; Plämpe; Lurke; Plempe	Geplämpe; Plampel; Plörre; Plempe; Lurke; Caro-Kaffee; Kaffee; Ballerbrühe; Geschlapp; Gesöff; Lorke; Plämpe; Pumpenheimer
EL01546	Lüterung	Lüterung	Substantiv	1.	Vorbranntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Schnaps	Branntwein; Branntewein	Branntwein; Branntewein; Feuerwasser; Schnaps	Branntwein; Branntewein; Feuerwasser; Anisschnaps; Schnaps; Kurzer
EM00566	Milch	Milch	Substantiv		Milch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Milch	Milch	Milch; Trinkmilch; Dosenmilch	Milch; Trinkmilch; Dosenmilch; Milchmischgetränk; Milchshake
EM00567	Brieschmilch	Brieschmilch	Substantiv		die erste Milch der Kuh	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Kuhmilch	Kuhmilch	Kuhmilch; Kuhsaft; Milch	Kuhmilch; Kuhsaft; Milch; Ziegenmilch; Trinkmilch
EM00571	Geisenmilch	Geisenmilch	Substantiv	1.	Ziegenmilch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Ziegenmilch	Ziegenmilch	Ziegenmilch; Milch; Eselsmilch	Ziegenmilch; Milch; Eselsmilch; Pflanzenmilch; Dosenmilch
EM00577	Surmilch	Surmilch	Substantiv		Sauermilch, Dickmilch, gestockte Milch; wird häufig abends mit Kartoffeln gegessen; auch zu Suppen verwendet	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Dickmilch; Sauermilch; gestandene Milch; saure Milch	gestandene Milch; Sauermilch; Dickmilch	gestandene Milch; haltbare Milch; Sauermilch; Dickmilch; saure Milch	gestandene Milch; haltbare Milch; Sauermilch; saure Milch; Dickmilch; H-Milch
EM00624	Molzer	Molzer	Substantiv	3.	Biersorte, die teils aus Lager-, teils aus Jungbier besteht	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	Bier	Märzenbier	Märzenbier; Kellerbier; Bockbier	Märzenbier; Kellerbier; Bockbier; Bier; Braunbier
EM00634	Mëmm; Mëmm(e)le	Mëmm, Mëmmele, Mëmmle	Substantiv	1.	in der Kinderspr. jede trinkbare Flüssigkeit, besonders Milch; auch verdoppelt	Getränk; Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Milch; Trinkbares	Trinkmilch	Trinkmilch; Milchmischgetränk; Milchmixgetränk	Trinkmilch; Milchmischgetränk; Milchmixgetränk; haltbare Milch; Schickermilch
EM01478	Most II, Muschk	Most, Muschk	Substantiv	1.	süsser Apfelwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Apfelperlwein; Apfelwein	Apfelwein; Apfelschaumwein	Apfelwein; Apfelperlwein; Apfelschaumwein	Apfelwein; Apfelperlwein; Apfelschaumwein; Apfelschorle; Weißwein; Süßwein
EM01478	Most II, Muschk	Most, Muschk	Substantiv	2.	süsser Traubenwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Süßwein	Süßwein	Süßwein; Weinwarm; Tafelwein	Süßwein; Weinwarm; Tafelwein; Riesling; Perlwein
EM01516	Mët(er)	Mëter, Mët	Substantiv		Met	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk	Honigwein; Met	Met	Met; Ale; Mate	Met; Ale; Mate; Weizen; GingerAle
EN00683	Näz	Näz	Substantiv	4.	schlechtes Getränk	Getränk	Getränk; Trank; Trinkbares; das Trinken; Trunk	Trunk; Gesöff	Trunk; Trank; das Trinken; Gesöff; Getränk	Trunk; Trank; das Trinken; Getränk; Drink; Gesöff
EP00701	Totenbaümpolitur	Totenbaümpolitur	Substantiv	2.	schlechter Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Fusel; Schnaps	Fusel	Fusel; Kurzer; Branntewein; Schnaps; Feuerwasser	Fusel; Kurzer; Branntewein; Branntwein; Schnaps; Feuerwasser
EP00881	Bemmeri	Bemmeri	Substantiv	2.	schlechter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Wein	Wein; Rebensaft; Tafelwein	Wein; Rebensaft; Tafelwein; Gänsewein; Weinbrand
EP00974	Bumpes	Bumpes	Substantiv	2.	gepantschter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Wein	Wein; Rebensaft; Weinwarm	Wein; Rebensaft; Weinwarm; Weinbrand; Most
EP01449	Bupperi	Bupperi	Substantiv	4.	schlechter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Wein	Wein; Rebensaft; Weinwarm	Wein; Rebensaft; Weinwarm; Weinbrand; Sauser
EP01634	Bier	Bier	Substantiv		Bier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	Bier	Bier	Bier; Kellerbier; Märzenbier	Bier; Kellerbier; Märzenbier; Bockbier; Braunbier
EP01789	Bërliner 	Bërliner	Substantiv	2.	schlechter Schnaps, auch Bërliner Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Fusel; Schnaps	Fusel	Fusel; Krambambuli; Schnaps; Kurzer; Branntewein; Branntwein	Fusel; Krambambuli; Schnaps; Branntewein; Branntwein; Kurzer
EP02080	Position	Position	Substantiv	2.	ein gewöhnliches Trinkglas voll Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Schnaps	Schnaps; Branntewein	Schnaps; Anisschnaps; Branntwein; Branntewein; Kurzer	Schnaps; Anisschnaps; Branntwein; Branntewein; Kurzer; Feuerwasser
EP02310	Petrol	Petrol	Substantiv	2.	Fusel, gemeiner Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Fusel; Schnaps	Branntewein; Fusel	Branntewein; Branntwein; Schnaps; Fusel; Kurzer	Branntewein; Branntwein; Schnaps; Kurzer; Fusel
EP02606	Rachenbutzer	Rachenbutzer	Substantiv	1.	saurer Wein, der vermöge seiner Weinsteinsäure den Schleim im Rachen gerinnen macht und ablöst	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Rebensaft	Rebensaft; Weinwarm; Wein	Rebensaft; Weinwarm; Wein; Süßwein; Riesling
EP03252	Plämpel, Bämpel	Plämpel, Bämpel	Substantiv	2.	träger, langsamer Mensch; schlechtes Getränk, insbes. dünner schwappelnder Kaffee	Getränk; Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Getränk; Kaffee; Trank; Trinkbares; das Trinken; Trunk	Gesöff; das Trinken	Gesöff; Trank; Trunk; das Trinken; Drink; Getränk; Türkentrank	Gesöff; Trank; Trunk; Getränk; Drink; das Trinken; Café; Türkentrank; KaffeemitSchuss
EP03335	Plappri, Plappkli	Plappri, Plappkli	Substantiv	2.	schwaches Getränk, insb. von Wein und Kaffee gesagt	Getränk; Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein 	Getränk; Kaffee; Trank; Trinkbares; das Trinken; Trunk; Wein	das Trinken; Gesöff	das Trinken; Trank; Trunk; Café; Drink; Gesöff; Getränk	das Trinken; Trank; Trunk; Drink; Kaffee; Café; Getränk; Gesöff
EP03708	Brüej(e)	Brüeje, Brüej	Substantiv	1.	Brühe, Sauce; auch Seifenbrühe, frischgepresster Rebensaft	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft	Traubensaft	Weinwarm	Weinwarm; Rebensaft; Federweißer	Weinwarm; Rebensaft; Federweißer; Sauser; Wein
EP03708	Brüej(e)	Brüeje, Brüej	Substantiv	2.	schlechte Suppe, schlechter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Wein	Wein; Rebensaft; Weinwarm	Wein; Rebensaft; Weinwarm; Ballerbrühe; Pumpenheimer
EP03711	Bankerottbrüej	Bankerottbrüej	Substantiv		schlechter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Wein	Wein; Rebensaft; Weinwarm	Wein; Rebensaft; Weinwarm; Weinbrand; Tafelwein
EP03723	Leimenbrüej	Leimenbrüej	Substantiv		scherzhaft für den lehmfarbigen neuen Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Federweißer; Sauser	Federweißer	Federweißer; Sauser; Süßwein; Traubensaft	Federweißer; Sauser; Süßwein; Prädikatswein; Klarer; Traubensaft; Weinwarm; Weißer
EP03724	Qutschelbrüej	Qutschelbrüej	Substantiv	2.	schlechter Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Brühe; Geplämpe; Geschlapp; Lorke; Lurke; Plampel; Plempe; Plämpe; Plörre	Brühe	Brühe; Gesöff; Lorke	Brühe; Gesöff; Lorke; Lurke; Plämpe
EP03727	Schnitzbrüej	Schnitzbrüej	Substantiv		schlechter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Wein	Wein; Rebensaft; Weinwarm	Wein; Rebensaft; Weinwarm; Gesöff; Gänsewein
EP03930	Brenz	Brenz	Substantiv	1.	Schnaps, Fusel	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Fusel; Schnaps	Fusel; Branntwein	Fusel; Branntewein; Branntwein; Schnaps	Fusel; Branntewein; Branntwein; Schnaps; Feuerwasser; Kurzer
EP04065	Briest, Briesch	Briest, Briesch	Substantiv	3.	gestockte junge Milch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Kuhmilch	gestandene Milch	gestandene Milch; saure Milch; Sauermilch	gestandene Milch; saure Milch; Sauermilch; haltbare Milch; Dickmilch
EP04065	Briest, Briesch	Briest, Briesch	Substantiv	2.	Milch einer frischmelkenden Kuh	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Dickmilch; Sauermilch; gestandene Milch; saure Milch	Kuhmilch	Kuhmilch; Eselsmilch; Milch	Kuhmilch; Eselsmilch; Milch; Kuhsaft; Ziegenmilch
ER00626	Rum I	Rum	Substantiv		Rum	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Rum; Zuckerrohrschnaps	Rum	Rum; Gin; Grog; Zuckerwasser; Zuckerrohrschnaps	Rum; Gin; Grog; Weinbrand; Radler; Zuckerwasser; Zuckerrohrschnaps
ER00670	Rämpes	Rämpes	Substantiv	1.	geringer Schnaps; schlechter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein 	Branntewein; Branntwein; Fusel; Schnaps; Wein	Fusel; Weinbrand	Fusel; Weinbrand; billiger Alkohol; Rebensaft; Wein; Schnaps	Fusel; Weinbrand; billiger Alkohol; Wein; Weinwarm; Rebensaft; Schnaps; Branntewein; Branntwein
ER00917	Räppes, Räppis, Räps	Räppes, Räppis, Räps	Substantiv	1.	schlechter Wein; neuer Wein aus Trauben, die man vor der eigentlichen Weinlese holt	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Federweißer; Sauser; Wein	Sauser; Federweißer	Sauser; Federweißer; Helles; Weinwarm; Rebensaft	Sauser; Federweißer; Helles; Klarer; Weinwarm; Weißwein; Märzen; Rebensaft; Wein
ER01113	Rissmichum	Rissmichum	Substantiv		gemeiner Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Schnaps	Schnaps	Schnaps; Branntewein; Feuerwasser; Branntwein	Schnaps; Branntewein; Feuerwasser; Kurzer; Branntwein
ES00271	Seifel	Seifel	Substantiv	3.	minderwertiges Getränk, Bier oder Wein	Getränk; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein 	Getränk; Kaffee; Trank; Trinkbares; das Trinken; Trunk; Wein	Bier; das Trinken; Trunk	Bier; Trank; Gesöff; das Trinken; Trunk; Getränk	Bier; Trank; Gesöff; Getränk; Trunk; das Trinken; Drink
ES00292	Gsuff(s)	Gsuffs, Gsuff	Substantiv	2.	schlechtes Getränk	Getränk	Getränk; Trank; Trinkbares; das Trinken; Trunk	Trunk; Gesöff; Trank	Trunk; Trank; das Trinken; Gesöff; Getränk	Trunk; Trank; das Trinken; Getränk; Drink; Gesöff
ES00323	Saft	Saft	Substantiv		Saft	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft	Saft	Saft	Saft; O-Saft; Ananassaft	Saft; O-Saft; Ananassaft; Karottensaft; Gemüsesaft
ES00572	Katzenseckel	Katzenseckel	Substantiv	1.	Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Schnaps	Branntwein	Branntwein; Branntewein; Schnaps	Branntwein; Branntewein; Schnaps; Feuerwasser; Kurzer
ES01193	Suser	Suser	Substantiv		gährender Most	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Most	Most; Rebensaft; Wein	Most; Rebensaft; Wein; Traubenmost; Traubensaft
ES02036	Schoppen	Schoppen	Substantiv	2.	bes. ein Schoppen Bier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	Bier	Kellerbier	Kellerbier; Bier; Bockbier	Kellerbier; Bier; Bockbier; Biermischgetränk; Leichtbier
ES02507	Kaffeeschlabber	Kaffeeschlabber	Substantiv		schlechter Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Brühe; Geplämpe; Geschlapp; Lorke; Lurke; Plampel; Plempe; Plämpe; Plörre	Plämpe	Plämpe; Lorke; Gesöff	Plämpe; Lorke; Gesöff; Plampel; Plörre
ES02514	Schlabberte, Schlabbete	Schlabberte, Schlabbete	Substantiv	2.	überh. schlechtes Getränke, kraftlose Brühe	Getränk	Getränk; Trank; Trinkbares; das Trinken; Trunk	Trinkbares; das Trinken	Trinkbares; Shortdrink; Trinkware; das Trinken; Trank; Trunk; Drink; Getränk	Trinkbares; Shortdrink; Trinkware; das Trinken; Tropfen; Trank; Trunk; Drink; Getränk; Café
ES03500	Schnaps, Schnips	Schnaps, Schnips	Substantiv	1.	Schnaps, Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Schnaps	Branntwein	Branntwein; Branntewein; Schnaps	Branntwein; Branntewein; Schnaps; Anisschnaps; Feuerwasser; Kurzer
ES03505	Quëtschelschnaps, Quëtschenschnaps, Quetschenschnaps	Quëtschelschnaps, Quëtschenschnaps, Quetschenschnaps	Substantiv		Branntwein aus Zwetschen	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Pflaumenbranntwein; Zwetschgenbrand; Zwetschgenschnaps; Zwetschgenwasser	Zwetschgenbrand; Zwetschgenschnaps; Pflaumenbranntwein	Zwetschgenbrand; Zwetschgenschnaps; Zwetschgenwasser; Pflaumenbranntwein	Zwetschgenbrand; Zwetschgenschnaps; Zwetschgenwasser; Pflaumenbranntwein; Aprikosenbrand; Aprikosenschnaps; Feuerzangenbowle
ES04513	Sprit	Sprit	Substantiv	2.	schlechter Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Fusel; Schnaps	Fusel	Fusel; Kurzer; Branntewein; Schnaps; Feuerwasser	Fusel; Kurzer; Branntewein; Branntwein; Schnaps; Feuerwasser
ES04532	Spritzer, Spretzer	Spritzer, Spretzer	Substantiv	5.	kleine Menge Branntwein, die man in den schwarzen Kaffee giesst	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Schnaps	Reisschnaps; Schnaps	Reisschnaps; Zuckerrohrschnaps; Branntewein; Schnaps; Feuerwasser; Kurzer	Reisschnaps; Zuckerrohrschnaps; Branntewein; Branntwein; Schnaps; Feuerwasser; Kurzer
ES05370	Stöpferle	Stöpferle	Substantiv	1.	petschierter Flaschenwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Rebensaft	Rebensaft; Wein; Gänsewein	Rebensaft; Wein; Gänsewein; Weinwarm; Tafelwein
ET00024	Tee	Tee	Substantiv	2.	Aufguss von getrockneten Blättern oder Blüten heilkräftiger Pflanzen	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Tee	Tee	Teepunsch	Teepunsch; Teegetränk; Kamillentee	Teepunsch; Teegetränk; Kamillentee; Förstertee; Jägertee
ET00025	Brusttee	Brusttee	Substantiv	1.	Brusttee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Tee	Tee	Tee	Tee; Hüttentee; Förstertee	Tee; Hüttentee; Förstertee; Jägertee; Kamillentee
ET01557	Düttle, Düttel	Düttle, Düttel	Substantiv	4.	Muttermilch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Milch	Milch	Milch; Frischmilch; Magermilch	Milch; Frischmilch; Magermilch; H-Milch; Vollmilch
ET01713	Traberen, Träberen	Traberen, Träberen	Substantiv	2.	Treberbranntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Grappa; Tresterbrand; Tresterschnaps	Tresterschnaps	Tresterschnaps; Zuckerrohrschnaps; Krambambuli	Tresterschnaps; Zuckerrohrschnaps; Krambambuli; Brandy; Tresterbrand
ET01926	Teüfelsdrëck 	Teüfelsdrëck	Substantiv	2.	Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Schnaps	Schnaps	Schnaps; Branntwein; Branntewein	Schnaps; Branntwein; Branntewein; Feuerwasser; Kurzer
ET02147	Trank	Trank	Substantiv		Trank	Getränk 	Getränk; Trank; Trinkbares; das Trinken; Trunk	Trank	Trank; Trunk; Getränk	Trank; Trunk; Getränk; Drink; das Trinken
ET02152	Säütränke	Säütränke	Substantiv	2.	schlechtes Getränk, z. B. schlechter Wein	Getränk; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk; Trank; Trinkbares; das Trinken; Trunk; Wein	das Trinken; Wein	das Trinken; Trinkbares; Trinkware; Trank; Trunk; Wein; Rebensaft; Gesöff	das Trinken; Trinkbares; Trinkware; Getränk; Drink; Trank; Trunk; Wein; Rebensaft; Gesöff
ET02160	Trinken	Trinken	Substantiv		Getränk	Getränk 	Getränk; Trank; Trinkbares; das Trinken; Trunk	Getränk	Getränk; Drink; Trank	Getränk; Drink; Trank; Trunk; das Trinken
ET02165	Trunk	Trunk	Substantiv		Trunk	Getränk 	Getränk; Trank; Trinkbares; das Trinken; Trunk	Trunk	Trunk; Trank; Getränk	Trunk; Trank; Getränk; das Trinken; Drink
