ID	Lemma	Definition	Konzept	Konzept_gemappt	Antwort_Modell
PL02335	Lotterie	Lotterie	kein_Trinken	Other	other
PF02041	ver-purzeln	purzelnd in Unordnung bringen, niedertreten	kein_Trinken	Other	other
PD02277	Diebchens	Knabenspiel	kein_Trinken	Other	other
PB06834	brutteln	schlecht arbeiten (vom Waschen und Stricken)	kein_Trinken	Other	other
PK02703	Klein-Schweinfurt	Neckname	kein_Trinken	Other	other
PE02068	er-wachsen	wachsen, gedeihen	kein_Trinken	Other	other
PW02082	Welts-kerl	ein besonders tüchtiger, erfolgreicher Mensch	kein_Trinken	Other	other
PK04669	kraukelig	klein und unscheinbar, kümmerlich	kein_Trinken	Other	other
PH00178	häckeln	beim Gehen die Fußknöchel aneinander reiben	kein_Trinken	Other	other
PK06048	kuttchern, küttchern	verstohlen lachen	kein_Trinken	Other	other
PM00985	Material	Material	kein_Trinken	Other	other
PK04330	Köze	aus Weiden oder Holzspänen geflochtener Rückenkorb mit Tragebändern	kein_Trinken	Other	other
PS08445	spauzen	Glut, Asche, Hitze von sich geben (vom Feuer)	kein_Trinken	Other	other
PJ00045	Jagd-spezel	Jagdfreund	kein_Trinken	Other	other
PN01063	Neun-töter, Neune-	Aeschna cyanea	kein_Trinken	Other	other
PK04335	Közen-korb	großer Korb für Häcksel	kein_Trinken	Other	other
PD01650	Deichsel-schraube	Stift an derDeichsel, der das Herausgleiten der Aufhaltkette verhindert	kein_Trinken	Other	other
PK01336	Kegel-geld	der von der verlierenden Partie zu zahlende Betrag	kein_Trinken	Other	other
PS11347	Stößel-pumpe	Jauchepumpe	kein_Trinken	Other	other
PZ01963	Zwerg-erbse	niedrig wachsende Erbsensorte	kein_Trinken	Other	other
PF02194	ver-schlafen	schläfrig, schlaftrunken	kein_Trinken	Other	other
PL02432	luft-leer	luftleer	kein_Trinken	Other	other
PB05125	Bord	Totentragbahre	kein_Trinken	Other	other
PF04357	Vor-beter	wer vorbetet	kein_Trinken	Other	other
PF02128	ver-rupfen	zerrupfen	kein_Trinken	Other	other
PH07488	Huren-bock	lasterhafter Mann	kein_Trinken	Other	other
PS07108	Sekunde	Sekunde	kein_Trinken	Other	other
PS08659	Spelle	Stecknadel	kein_Trinken	Other	other
PH04114	Herz-förmchen	Blechform zum Ausstechen des herzförmigen Kleingebäcks	kein_Trinken	Other	other
PH04001	herunter-rudeln	massenhaft herabfallen	kein_Trinken	Other	other
PS08128	Sottisen	unnötige Umstände	kein_Trinken	Other	other
PS08176	spälteln	Holz zum Feueranmachen in feine Späne spalten	kein_Trinken	Other	other
PM01844	Milch-bart	flaumiger, weicher Bartansatz bei Jugendlichen	kein_Trinken	Other	other
PH03492	herum-drücken	alle Arbeiten machen lassen	kein_Trinken	Other	other
PS01178	Sau-staller, -ställer	Neckname	kein_Trinken	Other	other
PD05469	durch-schlagen	eine Mauer durchbrechen	kein_Trinken	Other	other
PW00640	Wande	Streifen am Ende des Ackers, an dem der Pflug wendet	kein_Trinken	Other	other
PB03342	Pienseler	empfindliche, weinerliche Person	kein_Trinken	Other	other
PS05858	Schüssel-schaft	Regal für Schüsseln und Teller	kein_Trinken	Other	other
PK03692	Kohl-hübel	Flurname	kein_Trinken	Other	other
PF02713	Vesper	Nachmittagsgottesdienst bei Katholiken, Abendmesse	kein_Trinken	Other	other
PS00905	Saufen-zuber	Standgefäß, in dem das Viehfutter gesammelt und angemengt wird	kein_Trinken	Other	other
PK00124	Kaft, Käft	eiserner Ring am Pflug, in dem das Sech mit einem Holzkeil festgeklemmt wird	kein_Trinken	Other	other
PD03009	Dörfer	die Dorfbewohner	kein_Trinken	Other	other
PS10063	starren	mit unbewegten Augen blicken, etwas mit den Augen fixieren	kein_Trinken	Other	other
PS04153	Schnaken-messer	altes, rostiges, abgenutztes Messer	kein_Trinken	Other	other
PL02463	Lügen-bock	Lügner	kein_Trinken	Other	other
PS10009	Stangen-rose	Malve (Althea rosea Cav.)Gartenblume	kein_Trinken	Other	other
PK01609	Kessel-fabrik	Kesselfabrik	kein_Trinken	Other	other
PE00405	Eier-weck	mürbes Brötchen	kein_Trinken	Other	other
PF01649	ver-klabern	mit klebrigem Schmutz bedecken	kein_Trinken	Other	other
PS10171	stechen	jemanden überlisten, austricksen	kein_Trinken	Other	other
PB04479	Blümchen-rühr-mich-nicht-an	schüchternes Kind	kein_Trinken	Other	other
PA03743	aus-hauen	roden	kein_Trinken	Other	other
PW01223	wecken	wach machen	kein_Trinken	Other	other
PD04553	Drohnen-brut	Brut, aus der nur Drohnen hervorgehen	kein_Trinken	Other	other
PA02197	Anschläge-fresser	Mensch, der immer wieder neue Wünsche und Pläne hat	kein_Trinken	Other	other
PA01982	Anke(l)	Nacken, Genick	kein_Trinken	Other	other
PF00258	falzen	balzen	kein_Trinken	Other	other
PO00818	Oster-gasse	Flurname	kein_Trinken	Other	other
PL00846	Laus-ficke	Mensch mit verfilztem, verlaustem Haar	kein_Trinken	Other	other
PA00191	ab-fahren	durch Fahren abnützen	kein_Trinken	Other	other
PA00857	ab-wälzen	abwälzen	kein_Trinken	Other	other
PG04185	grimmen	zusammenziehen (den Mund beim Genuß scharfer Sachen)	kein_Trinken	Other	other
PS01386	schäffeln	tauen	kein_Trinken	Other	other
PW01176	Watz-klickert	komischer Kauz	kein_Trinken	Other	other
PS00195	Säge-blatt	Sägeblatt	kein_Trinken	Other	other
PD03019	Dorf-glocke	weibliche Person, die alle Dorfneuigkeiten weiß und verbreitet	kein_Trinken	Other	other
PK00418	Kampanje	zeitlich befristete Unternehmung, Hauptbetriebszeit	kein_Trinken	Other	other
PS06892	Seiber-gusche	wer viel und zugleich unüberlegt redet	kein_Trinken	Other	other
PS06404	Schwein-pelz	unsauberer, gemeiner Mensch	kein_Trinken	Other	other
PS12419	Stutzen	das untere, dicke Ende einer Getreidegarbe	kein_Trinken	Other	other
PS03037	schlecht	einfach, schlicht	kein_Trinken	Other	other
PK01399	keilen, keideln	werfen, schleudern	kein_Trinken	Other	other
PF03995	Flor-kleid	Kleid aus Flor	kein_Trinken	Other	other
PK01294	Kaute	Flurname	kein_Trinken	Other	other
PD04254	Drescher	Dreschwagen, Dreschmaschine	kein_Trinken	Other	other
PB07269	Pumpen-kübelchen	kleiner Kübel an der Wasserpumpe	kein_Trinken	Other	other
PG03404	glücken	glücken	kein_Trinken	Other	other
PS08699	Spende	Armenfonds, Sozialleistung für Arme	kein_Trinken	Other	other
PS01287	schäbig, schabig	unsinnig (schabiges Zeug machen = Unsinn treiben)	kein_Trinken	Other	other
PM02582	Mollo	Kopf	kein_Trinken	Other	other
PZ01180	zu-fahren	drauflos fahren, zügig fahren	kein_Trinken	Other	other
PE01635	Ent-setzung	Absetzung, Entlassung aus einem Amt	kein_Trinken	Other	other
PS07736	Skelett	Skelett	kein_Trinken	Other	other
PA02514	Apfel-körbchen	Gerät zum Obstbrechen	kein_Trinken	Other	other
PS11258	Stopsel, Stöpsel	kleingewachsener Mensch	kein_Trinken	Other	other
PK02879	Kloster-gasse	Gasse, die an ein Kloster oder an einenklösterlichen Gutshof erinnert	kein_Trinken	Other	other
PK01160	Katzen-narr	großer Katzenfreund	kein_Trinken	Other	other
PK00742	Karo	viereckige Abteilung des Gartens	kein_Trinken	Other	other
PS05085	schoren	(mit dem Spaten) umgraben	kein_Trinken	Other	other
PB00111	Pacht-acker	gepachteter Acker	kein_Trinken	Other	other
PS06699	Schwuppch	Schwung, Stoß	kein_Trinken	Other	other
PZ00948	Zoll	Zollkontrolle, Zollamt, Zollstation	kein_Trinken	Other	other
PI00023	Igel	Kastanienhülse	kein_Trinken	Other	other
PK02179	Kirchen-vermögen	Kirchenvermögen	kein_Trinken	Other	other
PA02270	An-sinnen	Ansinnen	kein_Trinken	Other	other
PM01335	Meckes, Mekes	im Wachstum zurückgebliebenes Tier	kein_Trinken	Other	other
PN01043	neun-eckig	faul, ungefällig	kein_Trinken	Other	other
PA03359	auf-springen	aufbersten	kein_Trinken	Other	other
PB01591	be-gehren	begehren	kein_Trinken	Other	other
PB02119	be-ruhigen	nach einer Aufregung ruhig werden	kein_Trinken	Other	other
PN00735	Nebel-macher	wer Darmwinde streichen läßt	kein_Trinken	Other	other
PA00823	ab-treten	überlassen, freiwillig abgeben	kein_Trinken	Other	other
PB04621	Blut-sturz	Blutsturz	kein_Trinken	Other	other
PH07312	Hunger-panz	Geizhals	kein_Trinken	Other	other
PG03137	Glan-rasse	eine im Glantal gezüchtete Rindviehrasse	kein_Trinken	Other	other
PH06042	Hohl-meißel	Meißel mit ausgehöhlter Schneide	kein_Trinken	Other	other
PS04573	Schneller-bogen	Armbrust als Spielzeug der Jungen	kein_Trinken	Other	other
PS10548	Stelle	Ort, Platz	kein_Trinken	Other	other
PG03098	Giraffe	überaus große Person	kein_Trinken	Other	other
PH04101	Herz-drücker	Kartoffeln	kein_Trinken	Other	other
PN00539	Näppes	kleiner Mann	kein_Trinken	Other	other
PG00438	Garn-sack	Fangnetz für Vögel	kein_Trinken	Other	other
PS11515	Strang-schläger	Pferd, das die Unart hat, über die Stränge zu schlagen	kein_Trinken	Other	other
PG00626	Gattings-kuh	passende Kuh	kein_Trinken	Other	other
PB05524	Brach-wiese	auf Brachland angelegte Wiese	kein_Trinken	Other	other
PB01849	Belgier	Name einer Pferderasse (schweres Pferd)	kein_Trinken	Other	other
PR01351	Reiter-schule	Karussell	kein_Trinken	Other	other
PG01551	Gelb-füße	Neckname	kein_Trinken	Other	other
PB06345	Prophet	(ü) sachl.	kein_Trinken	Other	other
PS11314	Stör-näherin	Schneiderin, die ins Haus kommt	kein_Trinken	Other	other
PB07542	bus	tuberkulös (vom Rindvieh)	kein_Trinken	Other	other
PA02292	An-stand	Anstand auf der Jagd	kein_Trinken	Other	other
PS12129	Stuben-mücke	Stubenfliege (Musca domestica)	kein_Trinken	Other	other
PN00144	nach-plärren	nachschreien, nachbrüllen	kein_Trinken	Other	other
PR00308	ranksen	schimpfen	kein_Trinken	Other	other
PF04895	vorwärts-gehen	gut vonstatten gehen, sich günstig entwickeln	kein_Trinken	Other	other
PS05803	Schurgelchens	ein Klickerspiel	kein_Trinken	Other	other
PH00884	Handel	Kauf und Verkauf von Waren	kein_Trinken	Other	other
PE01290	Elends-klamm	Flurname	kein_Trinken	Other	other
PF02667	Ver-zeichnis	Schulzeugnis	kein_Trinken	Other	other
PL01760	Leute-schinder	reicher Mensch, der die Armen unterdrückt und ausnützt	kein_Trinken	Other	other
PB03162	Pfuhl-pritsche	Einspännerkarren, auf dem das Jauchefaß transportiert wird	kein_Trinken	Other	other
PA03467	Auf-zug	Vorrichtung zum Heben von Lasten	kein_Trinken	Other	other
PS12503	sudeln	gleichzeitig regnen und schneien	kein_Trinken	Other	other
PS04207	schnappen	(durch Kopfnicken) zustimmen, bejahen	kein_Trinken	Other	other
PS02488	Schinägler	Arbeiter	kein_Trinken	Other	other
PB04074	Platsch-maul	wer viel und Schlechtes über andere redet	kein_Trinken	Other	other
PH02525	Heller-zins	Geldleistung in Hellern	kein_Trinken	Other	other
PS11757	Streuner	wer draußen herumläuft, herumirrt	kein_Trinken	Other	other
PF00630	Faul-lieschen	Akelei	kein_Trinken	Other	other
PR01799	Ringel-hafte	Öse, in die die Hafte eingehängt wird	kein_Trinken	Other	other
PK01128	Katzen-haar	ein nicht näher bezeichnetes Unkraut	kein_Trinken	Other	other
PK00839	Kaschmir	feiner Wollstoff (früherer Zeit)	kein_Trinken	Other	other
PD03115	Dorn, Dornen	Stahlbolzen zum Durchlöchern von Eisenblech, auch zum Erweitern von Löchern	kein_Trinken	Other	other
PL01883	liederig, liedrig	kränklich, gesundheitlich hinfällig	kein_Trinken	Other	other
PM02794	Mords-kaffer	dummer Kerl	kein_Trinken	Other	other
PS04972	Schöffe	ehrenamtlicher Laienrichter	kein_Trinken	Other	other
PH02443	Heirats-jahre	Heiratsalter	kein_Trinken	Other	other
PA02713	Armen-recht	Armenrecht	kein_Trinken	Other	other
PB05606	Brand-platscher	Huflattich (Tussilago farfara)	kein_Trinken	Other	other
PA00327	ab-jagen	durch Jagen ermüden, abhetzen	kein_Trinken	Other	other
PK01739	Kienholz-fackel	Leuchte aus Kiefernholz	kein_Trinken	Other	other
PL01189	Lehnung	Verpachtung, insbes. öffentliche Pachtvergabe	kein_Trinken	Other	other
PR01836	Ring-wurst	große Wurst	kein_Trinken	Other	other
PD04933	Tuch-rock	Tuchrock	kein_Trinken	Other	other
PD03149	dornig	dornig	kein_Trinken	Other	other
PL00794	Lauf-pfeiler	Armbrust der Knaben	kein_Trinken	Other	other
PS05905	Schutt-halde	Abraumhalde des Steinbruchs	kein_Trinken	Other	other
PN00078	Nach-geschwistergockel	weitläufiger Verwandter	kein_Trinken	Other	other
PA02148	an-reiben	entzünden, auflösen	kein_Trinken	Other	other
PF03015	Vieh-natur	kerngesunde, widerstandsfähige Körperbeschaffenheit	kein_Trinken	Other	other
PS11397	Stotterin	eine stotternde Frau	kein_Trinken	Other	other
PS03267	Schleuder	Steinschleuder, bes. Gummischleuder der Knaben	kein_Trinken	Other	other
PS10879	stiel-faul	mit Fäulnisstellen am Stiel	kein_Trinken	Other	other
PN00363	Nack-arsch	Herbstzeitlose (Colchicum autumnale)	kein_Trinken	Other	other
PN00363	Nack-arsch	wirtschaftlich ruinierter Mensch	kein_Trinken	Other	other
PF02985	Vieh-hafen	eiserner, großer Topf zum Kochen des Viehfutters	kein_Trinken	Other	other
PF05611	führen	befördern, transportieren	kein_Trinken	Other	other
PK02053	Kirbe-kranz	Kranz (Kränze) am Kirbebaum	kein_Trinken	Other	other
PH03807	herum-stiefeln	viel unterwegs sein	kein_Trinken	Other	other
PJ00164	japsen	nach Luft schnappen	kein_Trinken	Other	other
PM01143	Maul-löcher	Nüstern	kein_Trinken	Other	other
PK04609	Krätscher	Eichelhäher	kein_Trinken	Other	other
PW03861	Würz-stüpfe	womit oder in was Gewürze zerstoßen werden	kein_Trinken	Other	other
PW03409	Wolfs-kreiser	zum Wolfsfang angestellte Person	kein_Trinken	Other	other
PH02939	heraus-witschen	entkommen	kein_Trinken	Other	other
PD05366	durch-hacken	entzweihacken (ein Stück Holz, ein Stück Fleisch)	kein_Trinken	Other	other
PM00059	Madamen-schenkel	Flaschenbirne	kein_Trinken	Trinken	Trinken
PQ00092	Qualm	Qualm	kein_Trinken	Other	other
PG04813	Gummi-zug	elastischer Ziehgriff am Schuh	kein_Trinken	Other	other
PB00355	Bahn-schlitten	Schneepflug	kein_Trinken	Other	other
PS11351	Stoßer, Stößer	ein Ferkelhändler	kein_Trinken	Other	other
PG01410	Geißler	Metzger, der hauptsächlich Ziegen schlachtet	kein_Trinken	Other	other
PS00952	Sau-gast	unverschämter, grober Mensch	kein_Trinken	Other	other
PD01150	Tasche, Täsche	Einbuchtung im Mauerwerk	kein_Trinken	Other	other
PD01049	Darm-verschlingung	Darmverschlingung	kein_Trinken	Other	other
PH06651	Hosen-knopf	Blütenknöpfe der Klette	kein_Trinken	Other	other
PD04509	Trittling	Stiefel	kein_Trinken	Other	other
PA03256	auf-reißen	mit dem Grubber bearbeiten	kein_Trinken	Other	other
PE00904	ein-setzen	in etwas hineinsetzen	kein_Trinken	Other	other
PR01347	reitern	im Galoppschritt huckepack tragen	kein_Trinken	Other	other
PA03222	auf-pitteln	auflockern	kein_Trinken	Other	other
PD05138	Dunkel-delle	Flurname	kein_Trinken	Other	other
PN00336	Nacht-wisch	Mädchen, das sich spät in der Nacht herumtreibt	kein_Trinken	Other	other
PL00792	läufnig	brünstig von Hündin und Katze	kein_Trinken	Other	other
PK02398	Klamm-haken	Klammer zum Zusammenhalten des Gerüsts	kein_Trinken	Other	other
PK01025	Kästen-wald	aus Edelkastanienbäumen bestehender Wald	kein_Trinken	Other	other
PJ00535	Jul-hähnchen	aus Ton geformter, innen hohler Vogel mit zwei Luftlöchern	kein_Trinken	Other	other
PZ00223	Zatze	Hündin	kein_Trinken	Other	other
PJ00363	Johann-Jakob	ungeschickter, einfältiger Mensch, der sich von anderen ausnutzen läßt	kein_Trinken	Other	other
PF01340	ver-eisen	sich mit einer Eiskruste bedecken	kein_Trinken	Other	other
PB03475	Bildung	Bildung	kein_Trinken	Other	other
PK02961	knäcken	ticken	kein_Trinken	Other	other
PS10963	Stinker	der Pilz Eierbovist	kein_Trinken	Other	other
PH02767	heraus-fliegen	aus einer Stellung entlassen werden	kein_Trinken	Other	other
PA03862	aus-nasen	ausschnüffeln	kein_Trinken	Other	other
PF00599	Faul-baum	aus Holz vom Faulbaum gemachter Zapfen	kein_Trinken	Other	other
PR01221	rein	sauber, frei von Verunreinigungen	kein_Trinken	Other	other
PN00313	Nacht-schmetterling	eine Mottenart zur Zeit der Heuernte	kein_Trinken	Other	other
PH05760	Hoch-schüler	Hochschüler	kein_Trinken	Other	other
PM03137	Mühl-stück	Flurname	kein_Trinken	Other	other
PG03109	Gitarre	Gitarre	kein_Trinken	Other	other
PE00643	ein-jagen	z.B. Angst einjagen	kein_Trinken	Other	other
PA03405	Auf-trag	Befehl	kein_Trinken	Other	other
PA04161	Aus-weg	Ausweg	kein_Trinken	Other	other
PU00439	Um-lauf	Bewegung um etwas herum, Kreisbewegung	kein_Trinken	Other	other
PW01526	Weide-bube	Hirtenjunge	kein_Trinken	Other	other
PK03244	kniffelig	genau, pedantisch	kein_Trinken	Other	other
PH06493	Hoppsa-sa	leichtfertiger Mensch	kein_Trinken	Other	other
PD00813	Tappian	Tölpel	kein_Trinken	Other	other
PL02319	Lotte	offene Stelle auf dem zugefrorenen Rhein	kein_Trinken	Other	other
PU00923	Unter-kaute	Mal, nach dem beim Klickern geworfen wird	kein_Trinken	Other	other
PD03195	Dort	lange, harte Halme im Heu	kein_Trinken	Other	other
PH06094	Holder-stock	Schwarzer Holunder (Sambucus nigra)	kein_Trinken	Other	other
PB00427	Balken	Pflugbaum	kein_Trinken	Other	other
PD00928	darauf-kriegen	einen Schlag versetzt bekommen	kein_Trinken	Other	other
PH03548	herum-gucken	zögern, Rücksicht nehmen	kein_Trinken	Other	other
PS05398	Schrott	zerkleinerter, behauener Hartstein; Abfall beim Steinhauen	kein_Trinken	Other	other
PB01097	Patsche	Backenschlag	kein_Trinken	Other	other
PD02017	Teufels-kerl	unbändiger Kerl, der andern einen Streich spielt	kein_Trinken	Other	other
PS03478	Schloß-kopf	Flurname	kein_Trinken	Other	other
PE01269	Elefanten-zahn	Elefantenzahn	kein_Trinken	Other	other
PS07903	sommern	Sommer werden	kein_Trinken	Other	other
PL01636	Leseholz-schein	Erlaubnis des Forstamtes zum Sammeln von Leseholz	kein_Trinken	Other	other
PW03347	Wohl-lust(en)	Übermut	kein_Trinken	Other	other
PH02806	heraus-kobern	von einer Krankheit erholen	kein_Trinken	Other	other
PS05951	Schutz-wald	zur Vermeidung der Bodenerosion gepflanzter Wald	kein_Trinken	Other	other
PD05140	dunkel-grau	dunkelgrau	kein_Trinken	Other	other
PU00728	un-grundig	unsauber	kein_Trinken	Other	other
PZ00773	Zimtwaffel-eisen	Waffeleisen  zum Backen der flachen Zimtwaffeln	kein_Trinken	Other	other
PG03245	Glecke, Gleck	Heubündel	kein_Trinken	Other	other
PM01028	Matzel	verhärteter Augenschleim	kein_Trinken	Other	other
PD04489	Drittel	Drittel	kein_Trinken	Other	other
PK04521	Krampf-ader, Kramp-, Kramm-	Krampfader, Kramp, Kramm	kein_Trinken	Other	other
PM00063	Mädchen, Mädel, Mäden	ältere unverheiratete Frau	kein_Trinken	Other	other
PB02903	Pfetter, Pfetterich	Anrede des Herrn durch das Gesinde	kein_Trinken	Other	other
PR00868	rechten	streiten, disputieren	kein_Trinken	Other	other
PS07459	Sieben-schläfer	zur Familie der Bilche gehörende Schlafmaus (Glis glis)	kein_Trinken	Other	other
PB06195	Priska	weibl. VN	kein_Trinken	Other	other
PH02820	heraus-lassen	am Saum verlängern	kein_Trinken	Other	other
PD02846	Toni	Hundename	kein_Trinken	Other	other
PA00232	ab-fordern	von einem etwas fordern	kein_Trinken	Other	other
PF05480	Frühjahrs-katze	im Frühling geworfene Katze	kein_Trinken	Other	other
PK01229	Katzuff, Katzoff	Metzger	kein_Trinken	Other	other
PE00542	ein-fach	schlicht	kein_Trinken	Other	other
PS03699	Schmal-weg	Flurname	kein_Trinken	Other	other
PA00709	ab-setzen	des Amtes entheben	kein_Trinken	Other	other
PG04317	groß-hansig	prahlerisch	kein_Trinken	Other	other
PR00071	Rad	Kurzform für Fahr-, Dampf- Motorrad	kein_Trinken	Other	other
PG00495	Garten-land	Gartenbeet	kein_Trinken	Other	other
PZ00525	Zeuge	wer z.B. vor Gericht ein eigenes Zeugnis zu einem Ereignis ablegt	kein_Trinken	Other	other
PH07310	hungern	nach etwas verlangen	kein_Trinken	Other	other
PL00581	laß	müde, schlaff, lässig, ohne Energie	kein_Trinken	Other	other
PU00358	Ulster	(weiter) Mantel für Männer	kein_Trinken	Other	other
PS11867	Stritze	Wurstmaschine des Metzgers	kein_Trinken	Other	other
PB05860	breisen	(ein)schnüren, einfassen	kein_Trinken	Other	other
PM03095	Mühl-bühl	Flurname	kein_Trinken	Other	other
PK04484	Krämer	Kolonialwarenhändler, Inhaber eines kleinen Ladengeschäftes	kein_Trinken	Other	other
PS04862	Schnur	Sehne am Bogen zum Pfeilschießen	kein_Trinken	Other	other
PG02368	Ge-schmeiß	kleine Kinder	kein_Trinken	Other	other
PS10171	stechen	beim Kartenspiel gebräuchlicher Ausdruck	kein_Trinken	Other	other
PA00425	ab-ledig	fade	kein_Trinken	Other	other
PD04200	Treitschel	Schaukel	kein_Trinken	Other	other
PA00898	ab-witschen	abwischen	kein_Trinken	Other	other
PB02729	Pfeffer-knecht	Kaufmann	kein_Trinken	Other	other
PA00345	Ab-kauf	Loskauf	kein_Trinken	Other	other
PB04850	Bohnen-fäsel	Fasern an den grünen Bohnenhülsen	kein_Trinken	Other	other
PD00767	däperlich	widerlich schmeckend	kein_Trinken	Other	other
PR01147	Reichs-stein	Backstein 25 cm lang, 12 cm breit	kein_Trinken	Other	other
PK03467	knüppel-hart	sehr hart	kein_Trinken	Other	other
PG04101	Gricksel, Grickselchen	kleiner Mensch, kleines Mädchen	kein_Trinken	Other	other
PW01068	Wasser-reiter	das über das Wasser hingleitende Insekt Gerris gibbifer	kein_Trinken	Other	other
PF04436	Vorder-sturz	Verbindungsstück zwischen Pflugsgrindel und -haupt	kein_Trinken	Other	other
PA01247	Aktien-gesellschaft	Aktiengesellschaft	kein_Trinken	Other	other
PD05220	Tüpfen-boden	Topfboden	kein_Trinken	Other	other
PH04030	herunter-seckern	unordentlich abschneiden	kein_Trinken	Other	other
PB04612	Bluts-kopf	Seebinse	kein_Trinken	Other	other
PH05703	Hoch-bühne	Stockwerk über dem Erdgeschoß, Speicher	kein_Trinken	Other	other
PH07601	Hut-band	Hutband	kein_Trinken	Other	other
PS08638	Speis-sieb	Sieb für Mörtel	kein_Trinken	Other	other
PD02865	donner-keils	verflucht	kein_Trinken	Other	other
PR00567	ratzen	sich streiten	kein_Trinken	Other	other
PH06233	Holz-getäfel	Wandtäfelung in Wohnzimmern	kein_Trinken	Other	other
PF01638	ver-ketzern	falsch beschneiden (den Baum)	kein_Trinken	Other	other
PJ00288	Johann, Johannes	der Jünger Jesu	kein_Trinken	Other	other
PD03812	Trauf, Träuf, Traufe, Träufe	aus der Dachrinne abfließendes Regenwasser	kein_Trinken	Other	other
PB04784	bodemen, bödemen	auf den Boden werfen	kein_Trinken	Other	other
PD04505	drittig	verlängerte Form zu dritt	kein_Trinken	Other	other
PK02090	Kirbe-zeit	die Zeit der Kirbe (gewöhnlich nach der Ernte)	kein_Trinken	Other	other
PB04962	Polka	älterer Tanz	kein_Trinken	Other	other
PO00378	Ofen-rost	Rost, durch den die Asche in den Aschenkasten fällt	kein_Trinken	Other	other
PR00240	rammeln, rämmeln	stoßen	kein_Trinken	Other	other
PM00849	Martins-feuer	Feuer, das an Martini abgebrannt wurde	kein_Trinken	Other	other
PS12241	Stumpen	Stumpf, Stummel, Rest von etwas, kleine Menge	kein_Trinken	Other	other
PK02581	Kleetod-placken	von der Kleeseide befallene ringförmige Stelle im Acker	kein_Trinken	Other	other
PK04535	Krangel-peter	nörglerischer Mensch	kein_Trinken	Other	other
PS12730	Süßholz-raspler	wer anderen zum Gefallen redet, Schmeichler, Ohrenbläser	kein_Trinken	Other	other
