xml:id	Lemma	Wortart	Definition	Konzept	Konzept_gemappt	Antwort_Modell	Quote	Falsche Zusätzliche	ExaktGleich	Konzeptgruppe
PB02190	be-schwipst	Adjektiv	angeheitert	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PB02248	be-ständert	Adjektiv	betrunken	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PB02276	be-stußt	Adjektiv	einen Rausch haben	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB02604	Pfaffen-schänke	Substantiv	Schankbetrieb, dessen Reingewinn den Klerikern zufloß	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB02919	Pfetzer	Substantiv	Trinker	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB02933	Pfiffer	Substantiv	Trinker	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PB03059	Pflug	Substantiv	Gasthaus zum Pflug	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB01054	Bastrenk	Substantiv	Tanzlokal, Kneipe, Schenke	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PB03369	Bier-ausschank	Substantiv	Bierausschank	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PB03373	Bier-blättel	Substantiv	Bierfilz	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	0/1	1	False	kein_Trinken
PB03377	Bier-deckel	Substantiv	Bierfilz	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PB03381	Bier-filz	Substantiv	Unterlage für das Bierglas im Wirtshaus	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB03382	Bier-flasche	Substantiv	Bierflasche	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	0/1	1	False	kein_Trinken
PB03388	Bier-garten	Substantiv	Garten einer Bierwirtschaft	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB03391	Bier-glas	Substantiv	Bierglas	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB03392	Bier-haus	Substantiv	Bierwirtschaft	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB03393	Bier-hefe	Substantiv	Bierhefe	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	0/1	1	False	kein_Trinken
PB03399	Bier-keller	Substantiv	Bierkeller	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB03403	Bier-knüppel	Substantiv	Holzgerät, mit dem der Hahn ins Faß geschlagen wird	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB03404	Bier-kranen	Substantiv	Hahn am Bierfaß	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB03406	Bier-lümmel	Substantiv	Biersäufer	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB03409	Bier-mahl	Substantiv	Bewirtung mit Bier	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PB03411	Bier-reise	Substantiv	durch mehrere Wirtshäuser ziehen	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB03414	Bier-schenke	Substantiv	Wirtschaft, in der vornehmlich Bier ausgeschenkt wird	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB03418	Bier-stube	Substantiv	Bierlokal	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB03420	Bier-süffel, -süffer	Substantiv	Biersäufer	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB03422	Bier-teller	Substantiv	Unterlage für das Bierglas im Wirtshaus	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB03424	Bier-trinker	Substantiv	Biertrinker	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB03428	Bier-wirt	Substantiv	Inhaber einer Bierwirtschaft	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB03429	Bier-wirtschaft	Substantiv	Wirtschaft, in der vornehmlich Bier ausgeschenkt wird	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB03821	Pitscher	Substantiv	Trinker	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB03914	Blaffert, Bläffer(t), Blaffer, Bläffer(t)	Substantiv	Rausch	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB04008	Blase	Substantiv	Wirtshausgesellschaft	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB04015	Blaser, Bläser	Substantiv	tüchtiger Trinker	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB04154	blau	Adjektiv	sinnlos betrunken	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB04731	Bocks-beutel	Substantiv	Trinker	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB04749	Böckser-bohne	Substantiv	verdorbene Kaffeebohne	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB04764	Bock-stall	Substantiv	schlechte Wirtschaft, verrufenes Haus	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PB04771	Bock-wirt	Substantiv	Inhaber der Wirtschaft zum Bock in KL-Fischb	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB04939	polen-voll	Adjektiv	betrunken	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB05208	Borte	Substantiv	Schaum auf dem Bier	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB05580	Brand	Substantiv	starker Rausch	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB05630	Branntwein-brigade	Substantiv	Ausländer, die nach 1945 betrunken inKaiserslautern herumlungerten	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB05631	Branntwein-bruder	Substantiv	notorischer Branntweintrinker	kein_Trinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	0/1	1	False	kein_Trinken
PB05632	Branntwein-butelle	Substantiv	Schnapsflasche	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	0/1	1	False	kein_Trinken
PB05633	Branntwein-faß	Substantiv	Branntweinfaß	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB05634	Branntwein-flasche	Substantiv	Branntweinflasche	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	0/1	1	False	kein_Trinken
PB05636	Branntwein-glas	Substantiv	Schnapsglas	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB05638	Branntwein-knürbeler	Substantiv	Schnapstrinker	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB05639	Branntwein-laden	Substantiv	Schnapsladen	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB05640	Branntwein-lump	Substantiv	Schnapssäufer	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB05644	Branntwein-stiebe	Substantiv	unwiderstehlicher Drang nach Schnaps	kein_Trinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	0/1	1	False	kein_Trinken
PB05645	Branntwein-süffer	Substantiv	notorischer Schnapstrinker	kein_Trinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	0/1	1	False	kein_Trinken
PB05678	Brast	Substantiv	Trinkgelage	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB05930	Breme	Substantiv	betrunken sein	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PB05972	brennen	Verb	Schnaps brennen	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB06435	Brot-turmel	Substantiv	Trunkenheit	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB06562	Brühe	Substantiv	Rausch	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB06638	Brumm-kater	Substantiv	Katzenjammer mit vor Schmerzen brummendem Kopf	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB07106	Büffet-mamsell	Substantiv	Büffetdame im Restaurant	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PB07244	Bummer	Substantiv	Schnapsfläschchen mit dickem Bauch	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	0/1	1	False	kein_Trinken
PB07291	Bums	Substantiv	Kneipe	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PB07292	Bums	Substantiv	Bezeichnung für eine Gastwirtschaft in Land (um 1920)	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB07392	Bürde	Substantiv	betrunken sein	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PB07506	Bürste	Substantiv	Gastwirtschaft, deren Schild eine Bürste zeigte	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB07518	Bürsten-wirt	Substantiv	"Inhaber der Gastwirtschaft ""Zur Bürste"""	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB07543	Busch, Pusch, Buschen, Puschen	Substantiv	Alkoholrausch	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB07569	Buschon	Substantiv	ungeschlachter, oft betrunkener Mensch	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PB07638	Butik	Substantiv	Gastwirtschaft für bescheidene Ansprüche, Kneipe	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PD00009	Tabak	Substantiv	betrunken sein	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PD00214	Dackel	Substantiv	Rausch	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PD00444	dahin-wanken	Verb	wankend gehen (von Betrunkenen)	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PD00582	Dampes	Substantiv	Rausch	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PD00583	Dampf	Substantiv	Rausch	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PD00677	Tannen-strauß, Tann-strauß	Substantiv	Tannenzweig als Gaststättenkennzeichen der Straußwirtschaften	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PD00848	daran-gehen	Verb	vom Hang zum Alkohol	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PD00906	Darauf-geld	Substantiv	Trinkgeld	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PD00939	darauf-machen	Verb	vom ausgiebigen Alkoholgenuß	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PD00963	darauf-setzen	Verb	vom Alkoholgenuß	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PD01305	Dauer-brand	Substantiv	Säufer	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PD01371	Daumen	Substantiv	Gasthausbezeichnung	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PD01673	teigig	Adjektiv	betrunken	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PD01740	Delirium	Substantiv	Säuferwahnsinn	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PD02335	dienen	Verb	bei Tisch aufwarten	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PD02541	Tisch	Substantiv	Tisch im Gasthaus, Stamtisch, auch runder Tisch	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PD03065	Dorf-schenke	Substantiv	Dorfwirtshaus	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PD03093	Dorf-wirtschaft	Substantiv	Dorfwirtshaus	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PD03094	Dorf-wirtshaus	Substantiv	Dorfwirtshaus	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PD03109	Torkeler	Substantiv	wer schwankend, taumelig geht, bes. in Trunkenheit	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PD03110	torkelig	Adjektiv	schwankend, bes. durch Trunkenheit	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PD03115	Dorn, Dornen	Substantiv	Rausch	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PD03321	tot-pitschen	Verb	sich (durch Alkohol) tottrinken	kein_Trinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	0/1	1	False	kein_Trinken
PD03327	tot-saufen	Verb	sich durch übermäßigen Alkoholgenuß den Tod zuziehen	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PD03331	tot-schaskenen	Verb	totsaufen	kein_Trinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	0/1	1	False	kein_Trinken
PD03378	tot-trinken	Verb	totsaufen	kein_Trinken	Trinken.Schnell_große_Mengen_trinken	Trinken.Schnell_große_Mengen_trinken	0/1	1	False	kein_Trinken
PD03426	Tracht	Substantiv	Alkoholmenge, die zur Trunkenheit führt	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PD03461	Traget, Tragets	Substantiv	große Menge getrunkenen Alkohols	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PD03538	Traktier	Substantiv	kleine Speisegaststätte	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PD03547	Tralla	Substantiv	Delirium	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PD03558	Traminer-gesicht	Substantiv	vom Weingenuß gerötetes Gesicht	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PD03900	Dreck-butik	Substantiv	unsaubere Gastwirtschaft	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PD04036	Dreck-wirtschaft	Substantiv	unsaubere Gastwirtschaft	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PD04129	drei-drähtig	Adjektiv	von sehr starkem Bohnenkaffee	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PD04166	Drei-läufer	Substantiv	kleiner Rausch, Dreiviertelrausch	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PD04224	Tremens	Substantiv	Alkoholrausch	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PD04225	Tremens-delirium	Substantiv	Säuferwahn	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PD04437	Trinker	Substantiv	Trinker	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PD04438	trink-fest	Adjektiv	trinkfest	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PD04444	Trink-stube	Substantiv	Lokal, in dem man Getränke zu sich nimmt	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PD04444	Trink-stube	Substantiv	Stube neben dem Tanzsaal, in der getrunken wird	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PD04447	Trink-zimmer	Substantiv	Stube neben dem Tanzsaal, in der getrunken wird	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PD04612	Tropfs-blech	Substantiv	kleine Brenke, in die das Tropfbier vom Hahn hineintropft	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PD04744	Trudel	Substantiv	Bodensatz einer Flüssigkeit, bes. des Kaffees, des Weins	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PD04804	Trunk	Substantiv	Trunksucht	kein_Trinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	0/1	1	False	kein_Trinken
PD04805	trunken	Adjektiv	betrunken	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PD04807	Trunken-bold	Substantiv	Trunkenbold	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PD04808	Trunk-walter	Substantiv	Trunkenbold	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PD04986	Duft	Substantiv	Alkoholrausch	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PD05046	Tummel	Substantiv	Rausch	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PD05049	Tümmeler	Substantiv	Rausch	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PD05184	Dunst	Substantiv	Atem, der nach Alkohol riecht	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PD05219	Tüpfen	Substantiv	Gefäß zum Trinken	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PD05252	Düppes	Substantiv	kleiner Rausch	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PD05256	Tur	Substantiv	Saufperiode	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PD05559	turen	Verb	seine Sauftur haben	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PD05572	Turen-süffer	Substantiv	wer zeitweise dem Trunk ergeben ist, Quartalssäufer	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PD05715	Durstel	Substantiv	Trinker	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PD05747	Dusel	Substantiv	leichter Alkoholrausch	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PE00291	eichen	Verb	feststellen, wieviel einer auf einen Sitz trinken kann	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PE00566	ein-flößen	Verb	einflößen	kein_Trinken	Trinken.Schnell_große_Mengen_trinken	Trinken.Schnell_große_Mengen_trinken	0/1	1	False	kein_Trinken
PE00602	ein-gießen	Verb	das Glas füllen	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PE00653	Ein-kehr	Substantiv	Rast im Gasthaus	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PE00654	ein-kehren	Verb	auf der Reise (auf einem Ausflug) in ein Gasthaus gehen, jemand kurz besuchen	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PE00837	Ein-schenke	Substantiv	Schanktisch im Gasthaus	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PE00838	ein-schenken	Verb	Getränke eingießen; das Glas gut (schlecht) füllen	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PE00896	ein-seifen	Verb	zu übermäßigem Alkoholgenuß verleiten, vorsätzlich betrunken machen	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PE01864	er-geben	Verb	zum Trinker werden	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PE02405	Extra-stube	Substantiv	Nebenzimmer im Gasthaus für besondere Gäste	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PE02410	Extra-zimmer	Substantiv	Nebenzimmer im Gasthaus für besondere Gäste	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PF00099	Fahne, Fahnen	Substantiv	Atemgeruch nach Alkoholgenuß	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PF00394	Fasanerie	Substantiv	beliebte Einkehrgaststätte bei Zweibr, früher Tiergarten der Herzöge	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PF00858	Veit	Substantiv	der Rausch, den man sich antrinkt	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PF00862	felbeln	Verb	von einem Wirtshaus ins andere gehen	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PF00952	Feld-webel	Substantiv	Schaum auf dem Bier	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PF00953	Feldwebels-borte	Substantiv	hohe Schaumkrone auf dem Bier	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	0/1	1	False	kein_Trinken
PF01616	ver-katert	Adjektiv	müde nach durchzechter Nacht	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PF01986	ver-passen	Verb	vom Rausch	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PF02146	ver-saufen	Verb	dem Trunke ergeben, trunksüchtig	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PF02146	ver-saufen	Verb	von Trunkenheit oder Trunksucht zeugend	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PF02228	ver-schmachten	Verb	verschmachten	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PF02246	ver-schnäpseln	Verb	Geld für Schnaps ausgeben	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PF02250	ver-schnäuken	Verb	(Geld) für Näschereien ausgeben	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PF02529	ver-trinken	Verb	für Getränke ausgeben	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PF02659	ver-zapfen, -zäpfen	Verb	(durch den Faßzapfen) ausschenken	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PF02664	ver-zechen	Verb	das Geld für Zechgelage ausgeben	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
