xml:id	Lemma	Lemma_bereinigt	Wortart	Level	Definition	Konzept	Label	Cosine_Score	Pred_Label
PB00620	Bankerottsmacher-brühe, Bankerottmacher-brühe	Bankerottsmacherbrühe, Bankerottmacherbrühe	Substantiv	-	dünner, schlechter Kaffee	Trinken	1	0.9545	1.0000
PB00757	Pappel-wasser	Pappelwasser	Substantiv	2	geringwertiger Wein	Trinken	1	0.9610	1.0000
PB01168	Batzen-wein	Batzenwein	Substantiv	-	minderwertiger Wein	Trinken	1	0.9600	1.0000
PB01216	Bauchweh-wasser	Bauchwehwasser	Substantiv	-	Zwetschgenschnaps	Trinken	1	0.9406	1.0000
PB01317	Bauern-wein	Bauernwein	Substantiv	-	Wein, den die Bauern für den eigenen Gebrauch herstellen	Trinken	1	0.9252	1.0000
PB01499	Pech-milch	Pechmilch	Substantiv	-	die erste gelbe Milch der Kuh nach dem Kalben	Trinken	1	0.9279	1.0000
PB01633	be-hauen	behauen	Verb	2a	sich betrinken	Trinken	1	0.9750	1.0000
PB01838	be-ledern	beledern	Verb	-	betrinken	Trinken	1	0.9864	1.0000
PB01928	be-nebeln	benebeln	Verb	-	sich betrinken	Trinken	1	0.9750	1.0000
PB02056	perlen	perlen	Verb	'1.1.	trinken	Trinken	1	0.9985	1.0000
PB02138	be-schaskeln, -schassen	beschaskeln, beschassen	Verb	-	sich betrinken	Trinken	1	0.9750	1.0000
PB02193	be-seibeln	beseibeln	Verb	2	betrinken	Trinken	1	0.9864	1.0000
PB02354	be-trudeln	betrudeln	Verb	-	sich betrinken	Trinken	1	0.9750	1.0000
PB02576	be-zechen	bezechen	Verb	-	sich betrinken	Trinken	1	0.9750	1.0000
PB02644	Pfand-wein	Pfandwein	Substantiv		verpfändeter Wein	Trinken	1	0.9452	1.0000
PB02736	Pfeffer-minze, -minz	Pfefferminze, Pfefferminz	Substantiv	2	Pfefferminztee	Trinken	1	0.8888	1.0000
PB02740	Pfefferminz-tee	Pfefferminztee	Substantiv	-	Pfefferminztee	Trinken	1	0.8888	1.0000
PB02741	Pfefferminz-wasser	Pfefferminzwasser	Substantiv	-	Getränk aus Pfefferminzessenz und Wasser	Trinken	1	0.9368	1.0000
PB02869	Pferds-milch	Pferdsmilch	Substantiv	-	Stutenmilch	Trinken	1	0.9685	1.0000
PB02931	pfiffeln	pfiffeln	Verb	2	ein kleines Glas Wein trinken	Trinken	1	0.9596	1.0000
PB03368	Bier	Bier	Substantiv	-	Bier	Trinken	1	0.9827	1.0000
PB03415	Bier-schlorum	Bierschlorum	Substantiv	-	schlechtes Bier	Trinken	1	0.9659	1.0000
PB03442	Biest-milch	Biestmilch	Substantiv	-	die erste dicke, unreine Milch der Kuh unmittelbar nach dem Kalben	Trinken	1	0.9182	1.0000
PB03609	Pink-pille	Pinkpille	Substantiv	1	schlechter Kaffee	Trinken	1	0.9850	1.0000
PB03661	Bippel-henker	Bippelhenker	Substantiv	-	derbe Bez. für schlechten Kaffee	Trinken	1	0.8997	1.0000
PB03661	Bippel-henker	Bippelhenker	Substantiv	E2	Tresterwein, Haustrunk	Trinken	1	0.9461	1.0000
PB03715	Birnen-bumpes	Birnenbumpes	Substantiv	-	Wein, den man aus Birnenselbst hergestellt hat	Trinken	1	0.9288	1.0000
PB03729	Birnen-most	Birnenmost	Substantiv	-	Birnensaft	Trinken	1	0.9465	1.0000
PB03731	Birnen-puff	Birnenpuff	Substantiv	-	Wein, den man aus Birnen (und Äpfeln) selbst hergestellt hat	Trinken	1	0.9151	1.0000
PB03733	Birnen-saft	Birnensaft	Substantiv	-	Birnensaft	Trinken	1	0.9465	1.0000
PB03816	pitschen	pitschen	Verb	1	trinken	Trinken	1	0.9985	1.0000
PB03946	Plämpel	Plämpel	Substantiv	2	schlechter Wein, minderwertiger Haustrunk	Trinken	1	0.9378	1.0000
PB03948	plämpern	plämpern	Verb	-	oft trinken	Trinken	1	0.9892	1.0000
PB04011	blasen	blasen	Verb	3	einen trinken	Trinken	1	0.9895	1.0000
PB04154	blau	blau	Substantiv	4a'b	Branntwein	Trinken	1	0.9710	1.0000
PB04279	Bleff	Bleff	Substantiv	-	Haustrunk	Trinken	1	0.8900	1.0000
PB04398	blitzen	blitzen	Verb	x'1.2d	trinken	Trinken	1	0.9985	1.0000
PB04647	Blut-wein	Blutwein	Substantiv	-	Rotwein	Trinken	1	0.9839	1.0000
PB04693	Bock-bier	Bockbier	Substantiv	-	Starkbier mit hohem Stammwürzegehalt	Trinken	1	0.9228	1.0000
PB04748	Böckser	Böckser	Substantiv	1a	von verdorbenem Kaffee	Trinken	1	0.6739	1.0000
PB04748	Böckser	Böckser	Substantiv	1c	Wein mit Bodengeschmack	Trinken	1	0.9480	1.0000
PB04755	Böcksler	Böcksler	Substantiv	2	schlechter Kaffee	Trinken	1	0.9850	1.0000
PB04755	Böcksler	Böcksler	Substantiv	1	Wein mit Bodengeschmack	Trinken	1	0.9480	1.0000
PB04761	Bocks-seiche	Bocksseiche	Substantiv	-	schlechtes Bier	Trinken	1	0.9659	1.0000
PB04922	Polack	Polack	Substantiv	5	Rest eines Getränkes im Glas	Trinken	1	0.8791	1.0000
PB05580	Brand	Brand	Substantiv	6e	brennender Durst	Trinken	1	0.9631	1.0000
PB05629	Brannte-wein, Brannt-wein	Branntewein, Branntwein	Substantiv	-	Branntewein, Branntwein	Trinken	1	0.9449	1.0000
PB05642	Branntwein-schnäpsel	Branntweinschnäpsel	Substantiv	-	ein Gläschen Schnaps	Trinken	1	0.9449	1.0000
PB05678	Brast	Brast	Substantiv	1.4	Durst	Trinken	1	0.9849	1.0000
PB06029	Preß-most	Preßmost	Substantiv	-	durch Pressen gewonnener Obstsaft	Trinken	1	0.9282	1.0000
PB06123	Briester	Briester	Substantiv	-	erste Milch nach dem Kalben	Trinken	1	0.9450	1.0000
PB06125	Briester-milch	Briestermilch	Substantiv	-	erste Milch nach dem Kalben	Trinken	1	0.9450	1.0000
PB06369	prosten	prosten	Verb	1	trinken	Trinken	1	0.9985	1.0000
PB06370	prostern	prostern	Verb	-	trinken	Trinken	1	0.9985	1.0000
PB06562	Brühe	Brühe	Substantiv	3b	schlechter Kaffee	Trinken	1	0.9850	1.0000
PB06629	Brummelsbeerblätter-tee	Brummelsbeerblättertee	Substantiv	-	Brombeerblättertee	Trinken	1	0.9595	1.0000
PB06831	Bruttel	Bruttel	Substantiv	1d	schlechter Kaffee	Trinken	1	0.9850	1.0000
PB06832	Bruttel-brühe	Bruttelbrühe	Substantiv	-	schlechtes Kaffeegetränk	Trinken	1	0.8896	1.0000
PB06974	Büchsen-milch	Büchsenmilch	Substantiv	-	Büchsenmilch	Trinken	1	0.9702	1.0000
PB07038	Buckskin	Buckskin	Substantiv	2	schlechter Wein	Trinken	1	0.9861	1.0000
PB07052	Pudel	Pudel	Substantiv	2.3	schlechter Kaffee	Trinken	1	0.9850	1.0000
PB07085	Puff	Puff	Substantiv	1.2	Haustrunk	Trinken	1	0.8900	1.0000
PB07095	büffeln	büffeln	Verb	2	trinken	Trinken	1	0.9985	1.0000
PB07098	büffen	büffen	Verb	2	einen trinken	Trinken	1	0.9895	1.0000
PB07195	pulvern, pülvern	pulvern, pülvern	Verb	3	einen trinken	Trinken	1	0.9895	1.0000
PB07266	pumpen	pumpen	Verb	1b	einen trinken	Trinken	1	0.9895	1.0000
PB07282	Bumpes	Bumpes	Substantiv	1.4	schlechter Wein, Tresterwein	Trinken	1	0.9524	1.0000
PB07289	bumpsen, bumsen	bumpsen, bumsen	Verb	3	ein Glas Wein trinken	Trinken	1	0.9678	1.0000
PB07380	Buppes	Buppes	Substantiv	1	minderwertiger Wein, Haustrunk	Trinken	1	0.9411	1.0000
PB07510	bürsten	bürsten	Verb	2	trinken, zechen	Trinken	1	0.9596	1.0000
PB07749	Butter-milch	Buttermilch	Substantiv	-	Buttermilch	Trinken	1	0.9830	1.0000
PB07865	Butzicht-milch	Butzichtmilch	Substantiv	-	die erste dicke, unreine Milch der Kuh unmittelbar nach dem Kalben	Trinken	1	0.9182	1.0000
PD00533	Tal-wein	Talwein	Substantiv	-	Wein aus niedrigen Lagen	Trinken	1	0.9564	1.0000
PD00571	Dämmer-schoppen	Dämmerschoppen	Substantiv	-	kleiner Abendtrunk	Trinken	1	0.9082	1.0000
PD00646	tanken	tanken	Verb	2	trinken (vom Alkohol)	Trinken	1	0.9528	1.0000
PD00850	daran-gießen	darangießen	Verb	-	einen Schoppen, ein Gläschen u.ä. trinken	Trinken	1	0.9297	1.0000
PD00873	daran-schütten	daranschütten	Verb	2	einen Schoppen trinken	Trinken	1	0.9674	1.0000
PD01207	tätschern	tätschern	Verb	-	trinken	Trinken	1	0.9985	1.0000
PD01569	Tee	Tee	Substantiv	1	die getrockneten Blätter des Teestrauches und das daraus bereitete Getränk	Trinken	1	0.9045	1.0000
PD02202	Dick-milch	Dickmilch	Substantiv	1	Dickmilch	Trinken	1	0.9802	1.0000
PD02627	Dividenden-brühe	Dividendenbrühe	Substantiv	-	Bier	Trinken	1	0.9827	1.0000
PD02628	Dividenden-wasser	Dividendenwasser	Substantiv	-	Bier	Trinken	1	0.9827	1.0000
PD02922	Doppel-bier	Doppelbier	Substantiv	-	Starkbier	Trinken	1	0.9783	1.0000
PD03186	torschen	torschen	Verb	-	tüchtig trinken	Trinken	1	0.9769	1.0000
PD03425	Drachen-töter	Drachentöter	Substantiv	-	schlechter Wein	Trinken	1	0.9861	1.0000
PD03596	Trank	Trank	Substantiv	1	Getränk	Trinken	1	0.9930	1.0000
PD03599	tränken	tränken	Verb	1c	trinken	Trinken	1	0.9985	1.0000
PD03746	Trauben-most	Traubenmost	Substantiv	-	Traubenmost	Trinken	1	0.8994	1.0000
PD03871	Treber-wein	Treberwein	Substantiv		aus Traubenrückständen unter Zusatz von Zucker und Wasser hergestellter Wein	Trinken	1	0.9191	1.0000
PD04171	Drei-männer	Dreimänner	Substantiv	-	schlechter, saurer Wein	Trinken	1	0.9571	1.0000
PD04295	Trester-schnaps	Tresterschnaps	Substantiv	-	aus Weintrestern gebrannter Schnaps	Trinken	1	0.9365	1.0000
PD04296	Trester-wasser	Tresterwasser	Substantiv	-	aus TraubenrückständenZucker und Wasser hergestellter Wein	Trinken	1	0.9260	1.0000
PD04431	Trink	Trink	Substantiv		Trunk	Trinken	1	0.9596	1.0000
PD04433	Trink-branntwein	Trinkbranntwein	Substantiv	-	Branntwein zum Trinken	Trinken	1	0.9601	1.0000
PD04435	trinken	trinken	Verb	1b	regelmäßig und zuviel Alkohol trinken	Trinken	1	0.9516	1.0000
PD04445	Trink-wasser	Trinkwasser	Substantiv	-	Trinkwasser	Trinken	1	0.8582	1.0000
PD04446	Trink-wein	Trinkwein	Substantiv	-	minderer Wein, der als Haustrunk dient	Trinken	1	0.9344	1.0000
PD04512	Triumph-bock	Triumphbock	Substantiv	-	Biersorte	Trinken	1	0.8857	1.0000
PD04611	Tropfs-bier	Tropfsbier	Substantiv	-	Bier, das nach dem Einschenken vom Hahn abtropft	Trinken	1	0.9126	1.0000
PD04688	Trub-wein	Trubwein	Substantiv	-	der durch die Hefe getrübte letzte Wein im Faß	Trinken	1	0.9248	1.0000
PD04718	Drücker-wein	Drückerwein	Substantiv	-	Tresterwein	Trinken	1	0.9715	1.0000
PD04751	trudeln	trudeln	Verb	2.2	trinken	Trinken	1	0.9985	1.0000
PD04804	Trunk	Trunk	Substantiv	2	Getränk	Trinken	1	0.9930	1.0000
PD04809	Trunk-wein	Trunkwein	Substantiv	x	minderer Wein, der als Haustrunk dient	Trinken	1	0.9344	1.0000
PD04844	Druschel-schnaps	Druschelschnaps	Substantiv	-	Schnaps aus Stachelbeeren	Trinken	1	0.9353	1.0000
PD05009	dulfen	dulfen	Verb	2c	übermäßig trinken	Trinken	1	0.9767	1.0000
PD05027	Dullianer-brühe	Dullianerbrühe	Substantiv	-	schlechter Wein	Trinken	1	0.9861	1.0000
PD05031	tulpen	tulpen	Verb	-	(Alkohol) trinken	Trinken	1	0.9679	1.0000
PD05457	durch-saufen	durchsaufen	Verb	-	einen Zeitraum hindurch unmäßig trinken	Trinken	1	0.9486	1.0000
PD05551	durch-zechen	durchzechen	Verb	-	lange Zeit zechen	Trinken	1	0.1347	0.0000
PD05594	Türken-wein	Türkenwein	Substantiv		spöttische Bez. für den sehr sauren Wein des Jahres 1529	Trinken	1	0.9048	1.0000
PD05604	Turko	Turko	Substantiv	2	Bez. für schlechten Wein	Trinken	1	0.9290	1.0000
PD05718	durstig, dürstig	durstig, dürstig	Adjektiv	-	durstig, dürstig	Trinken	1	0.9422	1.0000
PD05776	Tut	Tut	Substantiv	-	Milch	Trinken	1	0.9922	1.0000
PD05778	tutchen	tutchen	Verb	x	trinken	Trinken	1	0.9985	1.0000
PD05792	tutern	tutern	Verb	-	saufen	Trinken	1	0.9808	1.0000
PE00146	Edel-wein	Edelwein	Substantiv	-	Edelwein	Trinken	1	0.9836	1.0000
PE00257	Ehr-wein	Ehrwein	Substantiv		auserlesener Wein, der aus besonderen Anlässen gereicht wird	Trinken	1	0.9211	1.0000
PE00406	Eier-wein	Eierwein	Substantiv	-	Wein mit verrührtem Ei und Zucker	Trinken	1	0.9289	1.0000
PE00499	ein-binden	einbinden	Verb	3	sich betrinken	Trinken	1	0.9750	1.0000
PE00686	ein-läppern	einläppern	Verb	-	in kleinen Schlucken trinken	Trinken	1	0.9578	1.0000
PE00745	ein-nehmen	einnehmen	Verb	2b	Alkohol trinken	Trinken	1	0.9896	1.0000
PE00863	ein-schlürfen	einschlürfen	Verb	-	einschlürfen	Trinken	1	0.0433	0.0000
PE00983	ein-tun	eintun	Verb	x'1.2a	einen Rausch antrinken	Trinken	1	0.9630	1.0000
PE01015	ein-wickeln	einwickeln	Verb	2c	einen über den Durst trinken	Trinken	1	0.9536	1.0000
PE01315	Elfuhr-messe	Elfuhrmesse	Substantiv	-	Frühschoppen	Trinken	1	0.9274	1.0000
PE01768	Erdbeeren-bowle, Erdbeer-bowle	Erdbeerenbowle, Erdbeerbowle	Substantiv	-	Erdbeerenbowle, Erdbeerbowle	Trinken	1	0.8630	1.0000
PE01783	Erdbeeren-wein, Erdbeer-wein	Erdbeerenwein, Erdbeerwein	Substantiv	-	Erdbeerenwein, Erdbeerwein	Trinken	1	0.9463	1.0000
PE01998	Ern-wein	Ernwein	Substantiv	-	Wein, der den Erntearbeitern zum Erntefest gereicht wird	Trinken	1	0.9193	1.0000
PE02096	Erz-engeler	Erzengeler	Substantiv	-	eine Weinbezeichnung	Trinken	1	0.3929	0.0000
PE02324	Eulen-seiche	Eulenseiche	Substantiv	-	verächtlich von abgestandenem Bier und anderen Getränken	Trinken	1	0.7382	1.0000
PE02364	exen	exen	Verb	-	auf einen Zug austrinken	Trinken	1	0.9543	1.0000
PF00455	Faß-bier	Faßbier	Substantiv	-	Bier aus dem Faß	Trinken	1	0.9411	1.0000
PF00505	Faß-wein	Faßwein	Substantiv	-	Wein direkt vom Faß	Trinken	1	0.9234	1.0000
PF01305	ver-drücken	verdrücken	Verb	2b	einen Schoppen trinken	Trinken	1	0.9674	1.0000
PF01484	ver-haften	verhaften	Verb	2b	austrinken	Trinken	1	0.9864	1.0000
PF01791	ver-lechen	verlechen	Verb	x2	sehr durstig sein (vom Menschen)	Trinken	1	0.9313	1.0000
PF02001	ver-pfetzen	verpfetzen	Verb	2	vertrinken	Trinken	1	0.9861	1.0000
PF02014	ver-pitschen	verpitschen	Verb	1	vertrinken	Trinken	1	0.9861	1.0000
PF02140	ver-salzen	versalzen	Verb	x3	sich betrinken	Trinken	1	0.9750	1.0000
PF02146	ver-saufen	versaufen	Verb	1.1a	vertrinken	Trinken	1	0.9861	1.0000
PF02165	ver-schaskenen	verschaskenen	Verb	-	mit Trinken vergeuden	Trinken	1	0.9557	1.0000
PF02235	ver-schmieren	verschmieren	Verb	1b'a	sich betrinken	Trinken	1	0.9750	1.0000
PF02260	Verschnitt-wein	Verschnittwein	Substantiv	-	Wein, der zum Verschneiden verwendet wird	Trinken	1	0.9309	1.0000
PF02311	ver-schwinden	verschwinden	Verb	3a	einen trinken	Trinken	1	0.9895	1.0000
PF02320	ver-seibeln	verseibeln	Verb	2	sich betrinken	Trinken	1	0.9750	1.0000
PF02878	Feuer-wasser	Feuerwasser	Substantiv	x	Schnaps	Trinken	1	0.9844	1.0000
PF03326	firnzen	firnzen	Verb	-	einen trinken, schlagen	Trinken	1	0.9673	1.0000
PF03618	Flaschen-milch	Flaschenmilch	Substantiv	-	in Flaschen an den Verbraucher gelieferte Milch	Trinken	1	0.9263	1.0000
PF03625	Flaschen-wein	Flaschenwein	Substantiv	-	Flaschenwein	Trinken	1	0.9833	1.0000
PF04250	voll-laufen	volllaufen	Verb	2	sich betrinken	Trinken	1	0.9750	1.0000
PF04269	voll-saufen	vollsaufen	Verb	1	sich satttrinken	Trinken	1	0.2183	0.0000
PF04269	voll-saufen	vollsaufen	Verb	2	sich besinnungslos betrinken	Trinken	1	0.9405	1.0000
PF05096	Frei-bier	Freibier	Substantiv	-	Freibier	Trinken	1	0.9789	1.0000
PF05493	Frühjahrs-tee	Frühjahrstee	Substantiv	-	Tee von den im Frühling blühenden Blumen und Kräutern	Trinken	1	0.9175	1.0000
PF05529	Fuchs	Fuchs	Substantiv	x2d'g	rötlicher Wein	Trinken	1	0.9713	1.0000
PF05806	Fusel	Fusel	Substantiv	1.1	schlechter Branntwein	Trinken	1	0.9641	1.0000
PF05806	Fusel	Fusel	Substantiv	1.2	schlechter Wein	Trinken	1	0.9861	1.0000
PG00215	Gamaschen-wasser	Gamaschenwasser	Substantiv	-	Tee	Trinken	1	0.9892	1.0000
PG00355	Gänse-wein	Gänsewein	Substantiv	-	Wasser	Trinken	1	0.7557	1.0000
PG00743	Gauls-, Gäuls-milch	Gaulsmilch, Gäulsmilch	Substantiv	-	Stutenmilch	Trinken	1	0.9685	1.0000
PG00886	Gebirgs-wein	Gebirgswein	Substantiv	-	Gebirgswein	Trinken	1	0.9837	1.0000
PG00935	Ge-bruttel	Gebruttel	Substantiv	2	Kaffeegetränk, in dem Rückstände schwimmen	Trinken	1	0.9148	1.0000
PG01375	Geißen-milch, Geiß-milch	Geißenmilch, Geißmilch	Substantiv	1	Ziegenmilch	Trinken	1	0.9796	1.0000
PG01529	Ge-läpper	Geläpper	Substantiv	-	häufiges Trinken	Trinken	1	0.9779	1.0000
PG01867	ge-nehmigen	genehmigen	Verb	-	sich einen Schoppen Wein, einen Schnaps genehmigen	Trinken	1	0.9308	1.0000
PG01943	Ge-plämpels	Geplämpels	Substantiv	-	Apfelwein	Trinken	1	0.9855	1.0000
PG02180	Gersten-brühe	Gerstenbrühe	Substantiv	-	Bier	Trinken	1	0.9827	1.0000
PG02187	Gersten-kaffee	Gerstenkaffee	Substantiv	-	Kaffeeersatz aus gerösteten Gerstenkörnern	Trinken	1	0.9037	1.0000
PG02499	Gesinde-wein, Gesind-wein	Gesindewein, Gesindwein	Substantiv	-	minderwertiger Wein	Trinken	1	0.9600	1.0000
PG02934	Gichtrosen-wein	Gichtrosenwein	Substantiv	x	Wein aus Gichtrosen	Trinken	1	0.9400	1.0000
PG03154	Glas	Glas	Substantiv	3b	Inhalt des Trinkglases	Trinken	1	0.3936	0.0000
PG03403	glucken	glucken	Verb	2	trinken	Trinken	1	0.9985	1.0000
PG03410	gluckern	gluckern	Verb	1	hastig trinken	Trinken	1	0.9769	1.0000
PG03417	glucksen	glucksen	Verb	2d'a	gierig und deutlich vernehmbar trinken	Trinken	1	0.9346	1.0000
PG03529	Gocko	Gocko	Substantiv	2	Branntwein	Trinken	1	0.9710	1.0000
PG03653	Gori	Gori	Substantiv	2.2	Branntwein	Trinken	1	0.9710	1.0000
PG03653	Gori	Gori	Substantiv	2.1	geringer Wein, gärender Tresterwein	Trinken	1	0.9379	1.0000
PG04443	Grundbirnen-branntwein, Grundbirn-branntwein	Grundbirnenbranntwein, Grundbirnbranntwein	Substantiv	-	Kartoffelschnaps	Trinken	1	0.9729	1.0000
PG04446	Grundbirnen-bumpes, Grundbirn-bumpes	Grundbirnenbumpes, Grundbirnbumpes	Substantiv	2	Kartoffelschnaps	Trinken	1	0.9729	1.0000
PG04457	Grundbirnen-fusel, Grundbirn-fusel	Grundbirnenfusel, Grundbirnfusel	Substantiv	-	Kartoffelschnaps	Trinken	1	0.9729	1.0000
PG04644	Grün-kopf	Grünkopf	Substantiv	2b	Flaschenwein	Trinken	1	0.9833	1.0000
PG04698	Grusselbeeren-wein, Grusselbeer-wein	Grusselbeerenwein, Grusselbeerwein	Substantiv	-	Stachelbeerwein	Trinken	1	0.9272	1.0000
PG04783	Gullianer	Gullianer	Substantiv	-	minderwertiger Wein	Trinken	1	0.9600	1.0000
PH00238	Häfelchens-wein	Häfelchenswein	Substantiv	-	geringerer Wein, der im irdenen Milchtopf aus dem Keller geholt wird	Trinken	1	0.9143	1.0000
PH00710	Halsrosen-tee	Halsrosentee	Substantiv	-	Tee aus der Halsrose	Trinken	1	0.9479	1.0000
PH00784	Hammels-milch, Hammel-milch	Hammelsmilch, Hammelmilch	Substantiv	-	Schafsmilch	Trinken	1	0.4388	0.0000
PH00898	Händel-stifter	Händelstifter	Substantiv	2	starker Wein	Trinken	1	0.9841	1.0000
PH01178	Hansel, Hänsel	Hansel, Hänsel	Substantiv	x3	schales Bier, Tropfbier	Trinken	1	0.9372	1.0000
PH01730	Haupt-wein	Hauptwein	Substantiv	-	Qualitätswein	Trinken	1	0.9832	1.0000
PH01844	Haus-rebe	Hausrebe	Substantiv	-	Spalierwein am Haus	Trinken	1	0.8474	1.0000
PH02010	Heckenbeeren-tee	Heckenbeerentee	Substantiv	-	Brombeerentee	Trinken	1	0.8553	1.0000
PH02173	Heidelbeeren-saft, Heidelbeer-saft	Heidelbeerensaft, Heidelbeersaft	Substantiv	-	Heidelbeerensaft, Heidelbeersaft	Trinken	1	0.9322	1.0000
PH02174	Heidelbeeren-schnaps, Heidelbeer-schnaps	Heidelbeerenschnaps, Heidelbeerschnaps	Substantiv	-	aus Heidelbeeren gebrannter Schnaps	Trinken	1	0.9378	1.0000
PH03353	Herrgotts-wein, Herrgott-wein	Herrgottswein, Herrgottwein	Substantiv	-	Wasser	Trinken	1	0.7557	1.0000
PH03867	herum-trinken	herumtrinken	Verb	-	reihum trinken auf jemandes Wohl	Trinken	1	0.9450	1.0000
PH03873	Herum-trunk	Herumtrunk	Substantiv		Umtrunk	Trinken	1	0.7828	1.0000
PH03915	herum-zipfeln	herumzipfeln	Verb	-	langsam trinken	Trinken	1	0.9892	1.0000
PH04041	herunter-stürzen	herunterstürzen	Verb	3	trinken	Trinken	1	0.9985	1.0000
PH04398	Hick-auf	Hickauf	Substantiv	-	schlechter Wein	Trinken	1	0.9861	1.0000
PH04458	Himbeeren-saft, Himbeer-saft	Himbeerensaft, Himbeersaft	Substantiv	1	Saft aus Himbeeren	Trinken	1	0.9357	1.0000
PH04462	Himbeeren-wasser, Himbeer-wasser	Himbeerenwasser, Himbeerwasser	Substantiv	-	mit Himbeerensaft gesüßtes Wasser	Trinken	1	0.9192	1.0000
PH04545	Himmels-wein	Himmelswein	Substantiv	-	himmlischer Wein (im Kinderspiel)	Trinken	1	0.9308	1.0000
PH05379	hinunter-drehen	hinunterdrehen	Verb	2	trinken	Trinken	1	0.9985	1.0000
PH05402	hinunter-jagen	hinunterjagen	Verb	-	rasch trinken	Trinken	1	0.9891	1.0000
PH05411	hinunter-läppern	hinunterläppern	Verb	-	schlürfend trinken	Trinken	1	0.9669	1.0000
PH05440	hinunter-schlenkern	hinunterschlenkern	Verb	-	schnell trinken	Trinken	1	0.9892	1.0000
PH05444	hinunter-schlückern	hinunterschlückern	Verb	-	trinken	Trinken	1	0.9985	1.0000
PH05461	hinunter-stürzen	hinunterstürzen	Verb	2	trinken	Trinken	1	0.9985	1.0000
PH05992	Hohen-astheimer	Hohenastheimer	Substantiv	1	Apfel- oder Birnenwein	Trinken	1	0.9500	1.0000
PH06079	Holderbeeren-wein	Holderbeerenwein	Substantiv	-	Wein aus Holunderbeeren	Trinken	1	0.9452	1.0000
PH06092	Holder-saft	Holdersaft	Substantiv	-	Saft aus Holunderbeeren	Trinken	1	0.9367	1.0000
