xml:id	Lemma	Lemma_bereinigt	Wortart	Level	Definition	Definition_gesplittet	Konzept	Lemma_gemappt	Konzept_Lemma	Def_kurz_gemappt	Konzept_Def_kurz	Konzept_gemappt
PH04853	hinein-klettern	hineinklettern	Verb	-	hineinklettern	['hineinklettern']	kein_Trinken			hineinklettern	kein_Trinken	kein_Trinken
PB00199	Bäcker-lohn	Bäckerlohn	Substantiv	+	Backgebühr	['Backgebühr']	kein_Trinken			Backgebühr	kein_Trinken	kein_Trinken
PS08431	Spatzert, Spätzert	Spatzert, Spätzert	Substantiv	1a	Sperling	['Sperling']	kein_Trinken			Sperling	kein_Trinken	kein_Trinken
PF00829	feil-halten	feilhalten	Verb	2	disputieren	['disputieren']	kein_Trinken			disputieren	kein_Trinken	kein_Trinken
PF05329	Fronleichnams-tag	Fronleichnamstag	Substantiv	-	katholischer Feiertag, der auf den zweiten Donnerstag nach Pfingsten fällt	['katholischer Feiertag, der auf den zweiten Donnerstag nach Pfingsten fällt']	kein_Trinken					
PE00418	Ei-gackel	Eigackel	Substantiv	2	Sumpfdotterblume	['Sumpfdotterblume']	kein_Trinken			Sumpfdotterblume	kein_Trinken	kein_Trinken
PW01311	weg-hören	weghören	Verb	1	nicht hinhören	['nicht hinhören']	kein_Trinken					
PI00107	Immen-kraut	Immenkraut	Substantiv	-	Melisse	['Melisse']	kein_Trinken			Melisse	kein_Trinken	kein_Trinken
PD04412	Drilles	Drilles	Substantiv	1	was sich um seine Achse im Kreise dreht	['was sich um seine Achse im Kreise dreht']	kein_Trinken					
PB05839	Brech-stange	Brechstange	Substantiv	-	Brechstange	['Brechstange']	kein_Trinken			Brechstange	kein_Trinken	kein_Trinken
PB05745	braun	braun	Adjektiv	-	braun	['braun']	kein_Trinken			braun	kein_Trinken	kein_Trinken
PZ00100	Zahn-schwären	Zahnschwären	Substantiv	-	Geschwür im Zahnbereich	['Geschwür im Zahnbereich']	kein_Trinken					
PK00621	kaputt	kaputt	Adjektiv	1b	(attr) schadhaft in höchstem Grad, entzwei, zerstört, zerstört (von Sachen)	['(attr) schadhaft in höchstem Grad', 'entzwei', 'zerstört', 'zerstört (von Sachen)']	kein_Trinken					
PK02178	Kirchen-vater	Kirchenvater	Substantiv	x	Kirchenpfleger, Messner	['Kirchenpfleger', 'Messner']	kein_Trinken					
PH05601	Hirten-acker	Hirtenacker	Substantiv	-	Flurname	['Flurname']	kein_Trinken			Flurname	kein_Trinken	kein_Trinken
PB04178	Blau-fabrik	Blaufabrik	Substantiv	-	Fabrik, die Ultramarin erzeugt	['Fabrik, die Ultramarin erzeugt']	kein_Trinken					
PH03605	herum-klüngeln	herumklüngeln	Verb	-	vom Garnstrang abnehmen und zu einem Klüngel wickeln	['vom Garnstrang abnehmen und zu einem Klüngel wickeln']	kein_Trinken					
PU00348	Ulm	Ulm	Adjektiv	2c	ein Kegelspiel	['ein Kegelspiel']	kein_Trinken					
PD01739	delikat	delikat	Adjektiv	x2	fein, zartfühlend	['fein', 'zartfühlend']	kein_Trinken					
PS08524	Speck-klotz	Speckklotz	Substantiv	-	dicker Mensch, Fettwanst	['dicker Mensch', 'Fettwanst']	kein_Trinken					
PH04401	Hickel-bank	Hickelbank	Substantiv	x	mit Kreideauf dem Boden dargestellte Bahn für das Spiel Hickel(ch)ns	['mit Kreideauf dem Boden dargestellte Bahn für das Spiel Hickel(ch)ns']	kein_Trinken					
PS07103	Sekretär	Sekretär	Substantiv	2	Schreibtisch	['Schreibtisch']	kein_Trinken			Schreibtisch	kein_Trinken	kein_Trinken
PF05728	Funken-sonntag	Funkensonntag	Substantiv	-	der Sonntag Invokavit	['der Sonntag Invokavit']	kein_Trinken					
PS08600	Speierling	Speierling	Substantiv	-	der Baum Sorbus domestica und seine Frucht	['der Baum Sorbus domestica und seine Frucht']	kein_Trinken					
PI00286	Italiener-huhn	Italienerhuhn	Substantiv	-	die Hühnerrasse Italiener	['die Hühnerrasse Italiener']	kein_Trinken					
PB05547	Braddel	Braddel	Substantiv	1	Kuhkot	['Kuhkot']	kein_Trinken			Kuhkot	kein_Trinken	kein_Trinken
PM02615	Monats-frau	Monatsfrau	Substantiv	-	Haushaltshilfe, die stundenweise arbeitet (und monatlich entlohnt wird)	['Haushaltshilfe, die stundenweise arbeitet (und monatlich entlohnt wird)']	kein_Trinken					
PS06492	Schwengel	Schwengel	Substantiv	2b	Geschlechtsteil des Hengstes	['Geschlechtsteil des Hengstes']	kein_Trinken					
PZ00099	Zahn-schrupper	Zahnschrupper	Substantiv	-	Zahnbürste	['Zahnbürste']	kein_Trinken			Zahnbürste	kein_Trinken	kein_Trinken
PS10650	Stern-buben	Sternbuben	Substantiv	-	durch das Dorf ziehende und Gaben heischende Sternsingerbuben	['durch das Dorf ziehende und Gaben heischende Sternsingerbuben']	kein_Trinken					
PL02335	Lotterie	Lotterie	Substantiv	-	Lotterie	['Lotterie']	kein_Trinken			Lotterie	kein_Trinken	kein_Trinken
PF02041	ver-purzeln	verpurzeln	Verb	-	purzelnd in Unordnung bringen, niedertreten	['purzelnd in Unordnung bringen', 'niedertreten']	kein_Trinken					
PD02277	Diebchens	Diebchens	Substantiv	x	Knabenspiel	['Knabenspiel']	kein_Trinken			Knabenspiel	kein_Trinken	kein_Trinken
PB06834	brutteln	brutteln	Verb	4	schlecht arbeiten (vom Waschen und Stricken)	['schlecht arbeiten (vom Waschen und Stricken)']	kein_Trinken					
PK02703	Klein-Schweinfurt	KleinSchweinfurt	Substantiv	-	Neckname	['Neckname']	kein_Trinken			Neckname	kein_Trinken	kein_Trinken
PE02068	er-wachsen	erwachsen	Verb	1	wachsen, gedeihen	['wachsen', 'gedeihen']	kein_Trinken					
PW02082	Welts-kerl	Weltskerl	Substantiv	2	ein besonders tüchtiger, erfolgreicher Mensch	['ein besonders tüchtiger', 'erfolgreicher Mensch']	kein_Trinken					
PK04669	kraukelig	kraukelig	Adjektiv	1b'a	klein und unscheinbar, kümmerlich	['klein und unscheinbar', 'kümmerlich']	kein_Trinken					
PH00178	häckeln	häckeln	Verb	'2	beim Gehen die Fußknöchel aneinander reiben	['beim Gehen die Fußknöchel aneinander reiben']	kein_Trinken					
PK06048	kuttchern, küttchern	kuttchern, küttchern	Verb	2b	verstohlen lachen	['verstohlen lachen']	kein_Trinken					
PM00985	Material	Material	Substantiv	-	Material	['Material']	kein_Trinken			Material	kein_Trinken	kein_Trinken
PK04330	Köze	Köze	Substantiv	1a	aus Weiden oder Holzspänen geflochtener Rückenkorb mit Tragebändern	['aus Weiden oder Holzspänen geflochtener Rückenkorb mit Tragebändern']	kein_Trinken					
PS08445	spauzen	spauzen	Verb	1d	Glut, Asche, Hitze von sich geben (vom Feuer)	['Glut', 'Asche', 'Hitze von sich geben (vom Feuer)']	kein_Trinken					
PJ00045	Jagd-spezel	Jagdspezel	Substantiv	-	Jagdfreund	['Jagdfreund']	kein_Trinken			Jagdfreund	kein_Trinken	kein_Trinken
PN01063	Neun-töter, Neune-	Neuntöter, Neunetöter	Substantiv	1d	Aeschna cyanea	['Aeschna cyanea']	kein_Trinken					
PK04335	Közen-korb	Közenkorb	Substantiv	2	großer Korb für Häcksel	['großer Korb für Häcksel']	kein_Trinken					
PD01650	Deichsel-schraube	Deichselschraube	Substantiv	-	Stift an derDeichsel, der das Herausgleiten der Aufhaltkette verhindert	['Stift an derDeichsel, der das Herausgleiten der Aufhaltkette verhindert']	kein_Trinken					
PK01336	Kegel-geld	Kegelgeld	Substantiv	-	der von der verlierenden Partie zu zahlende Betrag	['der von der verlierenden Partie zu zahlende Betrag']	kein_Trinken					
PS11347	Stößel-pumpe	Stößelpumpe	Substantiv	-	Jauchepumpe	['Jauchepumpe']	kein_Trinken			Jauchepumpe	kein_Trinken	kein_Trinken
PZ01963	Zwerg-erbse	Zwergerbse	Substantiv	-	niedrig wachsende Erbsensorte	['niedrig wachsende Erbsensorte']	kein_Trinken					
PF02194	ver-schlafen	verschlafen	Verb	3	schläfrig, schlaftrunken	['schläfrig', 'schlaftrunken']	kein_Trinken					
PL02432	luft-leer	luftleer	Adjektiv	-	luftleer	['luftleer']	kein_Trinken			luftleer	kein_Trinken	kein_Trinken
PB05125	Bord	Bord	Substantiv	'1.2	Totentragbahre	['Totentragbahre']	kein_Trinken			Totentragbahre	kein_Trinken	kein_Trinken
PF04357	Vor-beter	Vorbeter	Substantiv	-	wer vorbetet	['wer vorbetet']	kein_Trinken					
PF02128	ver-rupfen	verrupfen	Verb	1	zerrupfen	['zerrupfen']	kein_Trinken			zerrupfen	kein_Trinken	kein_Trinken
PH07488	Huren-bock	Hurenbock	Substantiv	-	lasterhafter Mann	['lasterhafter Mann']	kein_Trinken					
PS07108	Sekunde	Sekunde	Substantiv	-	Sekunde	['Sekunde']	kein_Trinken			Sekunde	kein_Trinken	kein_Trinken
PS08659	Spelle	Spelle	Substantiv	-	Stecknadel	['Stecknadel']	kein_Trinken			Stecknadel	kein_Trinken	kein_Trinken
PH04114	Herz-förmchen	Herzförmchen	Substantiv	-	Blechform zum Ausstechen des herzförmigen Kleingebäcks	['Blechform zum Ausstechen des herzförmigen Kleingebäcks']	kein_Trinken					
PH04001	herunter-rudeln	herunterrudeln	Verb	2	massenhaft herabfallen	['massenhaft herabfallen']	kein_Trinken					
PS08128	Sottisen	Sottisen	Substantiv	2	unnötige Umstände	['unnötige Umstände']	kein_Trinken					
PS08176	spälteln	spälteln	Verb	-	Holz zum Feueranmachen in feine Späne spalten	['Holz zum Feueranmachen in feine Späne spalten']	kein_Trinken					
PM01844	Milch-bart	Milchbart	Substantiv	1	flaumiger, weicher Bartansatz bei Jugendlichen	['flaumiger', 'weicher Bartansatz bei Jugendlichen']	kein_Trinken					
PH03492	herum-drücken	herumdrücken	Verb	1a	alle Arbeiten machen lassen	['alle Arbeiten machen lassen']	kein_Trinken					
PS01178	Sau-staller, -ställer	Saustaller, Sauställer	Substantiv	-	Neckname	['Neckname']	kein_Trinken			Neckname	kein_Trinken	kein_Trinken
PD05469	durch-schlagen	durchschlagen	Verb	1b	eine Mauer durchbrechen	['eine Mauer durchbrechen']	kein_Trinken					
PW00640	Wande	Wande	Substantiv	-	Streifen am Ende des Ackers, an dem der Pflug wendet	['Streifen am Ende des Ackers', 'an dem der Pflug wendet']	kein_Trinken					
PB03342	Pienseler	Pienseler	Substantiv	1	empfindliche, weinerliche Person	['empfindliche', 'weinerliche Person']	kein_Trinken					
PS05858	Schüssel-schaft	Schüsselschaft	Substantiv	-	Regal für Schüsseln und Teller	['Regal für Schüsseln und Teller']	kein_Trinken					
PK03692	Kohl-hübel	Kohlhübel	Substantiv	-	Flurname	['Flurname']	kein_Trinken			Flurname	kein_Trinken	kein_Trinken
PF02713	Vesper	Vesper	Substantiv	1	Nachmittagsgottesdienst bei Katholiken, Abendmesse	['Nachmittagsgottesdienst bei Katholiken', 'Abendmesse']	kein_Trinken					
PS00905	Saufen-zuber	Saufenzuber	Substantiv	-	Standgefäß, in dem das Viehfutter gesammelt und angemengt wird	['Standgefäß', 'in dem das Viehfutter gesammelt und angemengt wird']	kein_Trinken					
PK00124	Kaft, Käft	Kaft, Käft	Substantiv	2a	eiserner Ring am Pflug, in dem das Sech mit einem Holzkeil festgeklemmt wird	['eiserner Ring am Pflug', 'in dem das Sech mit einem Holzkeil festgeklemmt wird']	kein_Trinken					
PD03009	Dörfer	Dörfer	Substantiv	-	die Dorfbewohner	['die Dorfbewohner']	kein_Trinken					
PS10063	starren	starren	Verb	-	mit unbewegten Augen blicken, etwas mit den Augen fixieren	['mit unbewegten Augen blicken', 'etwas mit den Augen fixieren']	kein_Trinken					
PS04153	Schnaken-messer	Schnakenmesser	Substantiv	-	altes, rostiges, abgenutztes Messer	['altes', 'rostiges', 'abgenutztes Messer']	kein_Trinken					
PL02463	Lügen-bock	Lügenbock	Substantiv	-	Lügner	['Lügner']	kein_Trinken			Lügner	kein_Trinken	kein_Trinken
PS10009	Stangen-rose	Stangenrose	Substantiv	1	Malve (Althea rosea Cav.)Gartenblume	['Malve (Althea rosea Cav.)Gartenblume']	kein_Trinken					
PK01609	Kessel-fabrik	Kesselfabrik	Substantiv	-	Kesselfabrik	['Kesselfabrik']	kein_Trinken			Kesselfabrik	kein_Trinken	kein_Trinken
PE00405	Eier-weck	Eierweck	Substantiv	-	mürbes Brötchen	['mürbes Brötchen']	kein_Trinken					
PF01649	ver-klabern	verklabern	Verb	x	mit klebrigem Schmutz bedecken	['mit klebrigem Schmutz bedecken']	kein_Trinken					
PS10171	stechen	stechen	Verb	4a	jemanden überlisten, austricksen	['jemanden überlisten', 'austricksen']	kein_Trinken					
PB04479	Blümchen-rühr-mich-nicht-an	Blümchenrührmichnichtan	Substantiv	2	schüchternes Kind	['schüchternes Kind']	kein_Trinken					
PA03743	aus-hauen	aushauen	Verb	4	roden	['roden']	kein_Trinken			roden	kein_Trinken	kein_Trinken
PW01223	wecken	wecken	Verb	'1	wach machen	['wach machen']	kein_Trinken					
PD04553	Drohnen-brut	Drohnenbrut	Substantiv	1	Brut, aus der nur Drohnen hervorgehen	['Brut', 'aus der nur Drohnen hervorgehen']	kein_Trinken					
PA02197	Anschläge-fresser	Anschlägefresser	Substantiv	1	Mensch, der immer wieder neue Wünsche und Pläne hat	['Mensch, der immer wieder neue Wünsche und Pläne hat']	kein_Trinken					
PA01982	Anke(l)	Ankel, Anke	Substantiv	-	Nacken, Genick	['Nacken', 'Genick']	kein_Trinken					
PF00258	falzen	falzen	Verb	-	balzen	['balzen']	kein_Trinken			balzen	kein_Trinken	kein_Trinken
PO00818	Oster-gasse	Ostergasse	Substantiv	-	Flurname	['Flurname']	kein_Trinken			Flurname	kein_Trinken	kein_Trinken
PL00846	Laus-ficke	Lausficke	Substantiv	1b	Mensch mit verfilztem, verlaustem Haar	['Mensch mit verfilztem', 'verlaustem Haar']	kein_Trinken					
PA00191	ab-fahren	abfahren	Verb	I1d	durch Fahren abnützen	['durch Fahren abnützen']	kein_Trinken					
PA00857	ab-wälzen	abwälzen	Verb	-	abwälzen	['abwälzen']	kein_Trinken			abwälzen	kein_Trinken	kein_Trinken
PG04185	grimmen	grimmen	Verb	-	zusammenziehen (den Mund beim Genuß scharfer Sachen)	['zusammenziehen (den Mund beim Genuß scharfer Sachen)']	kein_Trinken					
PS01386	schäffeln	schäffeln	Verb	2	tauen	['tauen']	kein_Trinken			tauen	kein_Trinken	kein_Trinken
PW01176	Watz-klickert	Watzklickert	Substantiv	-	komischer Kauz	['komischer Kauz']	kein_Trinken					
PS00195	Säge-blatt	Sägeblatt	Substantiv	-	Sägeblatt	['Sägeblatt']	kein_Trinken			Sägeblatt	kein_Trinken	kein_Trinken
PD03019	Dorf-glocke	Dorfglocke	Substantiv	-	weibliche Person, die alle Dorfneuigkeiten weiß und verbreitet	['weibliche Person, die alle Dorfneuigkeiten weiß und verbreitet']	kein_Trinken					
PK00418	Kampanje	Kampanje	Substantiv	2	zeitlich befristete Unternehmung, Hauptbetriebszeit	['zeitlich befristete Unternehmung', 'Hauptbetriebszeit']	kein_Trinken					
PS06892	Seiber-gusche	Seibergusche	Substantiv	2b	wer viel und zugleich unüberlegt redet	['wer viel und zugleich unüberlegt redet']	kein_Trinken					
PS06404	Schwein-pelz	Schweinpelz	Substantiv	-	unsauberer, gemeiner Mensch	['unsauberer', 'gemeiner Mensch']	kein_Trinken					
PS12419	Stutzen	Stutzen	Substantiv	2	das untere, dicke Ende einer Getreidegarbe	['das untere', 'dicke Ende einer Getreidegarbe']	kein_Trinken					
PS03037	schlecht	schlecht	Adjektiv	+1a	einfach, schlicht	['einfach', 'schlicht']	kein_Trinken					
PK01399	keilen, keideln	keilen, keideln	Verb	x'1.2b	werfen, schleudern	['werfen', 'schleudern']	kein_Trinken					
PF03995	Flor-kleid	Florkleid	Substantiv	-	Kleid aus Flor	['Kleid aus Flor']	kein_Trinken					
PK01294	Kaute	Kaute	Substantiv	4d	Flurname	['Flurname']	kein_Trinken			Flurname	kein_Trinken	kein_Trinken
PD04254	Drescher	Drescher	Substantiv	1b	Dreschwagen, Dreschmaschine	['Dreschwagen', 'Dreschmaschine']	kein_Trinken					
PB07269	Pumpen-kübelchen	Pumpenkübelchen	Substantiv	-	kleiner Kübel an der Wasserpumpe	['kleiner Kübel an der Wasserpumpe']	kein_Trinken					
PG03404	glücken	glücken	Verb	-	glücken	['glücken']	kein_Trinken			glücken	kein_Trinken	kein_Trinken
PS08699	Spende	Spende	Substantiv	2	Armenfonds, Sozialleistung für Arme	['Armenfonds', 'Sozialleistung für Arme']	kein_Trinken					
PS01287	schäbig, schabig	schäbig, schabig	Adjektiv	4c	unsinnig (schabiges Zeug machen = Unsinn treiben)	['unsinnig (schabiges Zeug machen = Unsinn treiben)']	kein_Trinken					
PM02582	Mollo	Mollo	Substantiv	1	Kopf	['Kopf']	kein_Trinken			Kopf	kein_Trinken	kein_Trinken
PZ01180	zu-fahren	zufahren	Verb	1a	drauflos fahren, zügig fahren	['drauflos fahren', 'zügig fahren']	kein_Trinken					
PE01635	Ent-setzung	Entsetzung	Substantiv	+	Absetzung, Entlassung aus einem Amt	['Absetzung', 'Entlassung aus einem Amt']	kein_Trinken					
PS07736	Skelett	Skelett	Substantiv	-	Skelett	['Skelett']	kein_Trinken			Skelett	kein_Trinken	kein_Trinken
PA02514	Apfel-körbchen	Apfelkörbchen	Substantiv	-	Gerät zum Obstbrechen	['Gerät zum Obstbrechen']	kein_Trinken					
PS11258	Stopsel, Stöpsel	Stopsel, Stöpsel	Substantiv	2	kleingewachsener Mensch	['kleingewachsener Mensch']	kein_Trinken					
PK02879	Kloster-gasse	Klostergasse	Substantiv	-	Gasse, die an ein Kloster oder an einenklösterlichen Gutshof erinnert	['Gasse, die an ein Kloster oder an einenklösterlichen Gutshof erinnert']	kein_Trinken					
PK01160	Katzen-narr	Katzennarr	Substantiv	-	großer Katzenfreund	['großer Katzenfreund']	kein_Trinken					
PK00742	Karo	Karo	Substantiv	'1.1	viereckige Abteilung des Gartens	['viereckige Abteilung des Gartens']	kein_Trinken					
PS05085	schoren	schoren	Verb	'1.2	(mit dem Spaten) umgraben	['(mit dem Spaten) umgraben']	kein_Trinken					
PB00111	Pacht-acker	Pachtacker	Substantiv	-	gepachteter Acker	['gepachteter Acker']	kein_Trinken					
PS06699	Schwuppch	Schwuppch	Substantiv	-	Schwung, Stoß	['Schwung', 'Stoß']	kein_Trinken					
PZ00948	Zoll	Zoll	Substantiv	'2.2b	Zollkontrolle, Zollamt, Zollstation	['Zollkontrolle', 'Zollamt', 'Zollstation']	kein_Trinken					
PI00023	Igel	Igel	Substantiv	2a	Kastanienhülse	['Kastanienhülse']	kein_Trinken			Kastanienhülse	kein_Trinken	kein_Trinken
PK02179	Kirchen-vermögen	Kirchenvermögen	Substantiv	-	Kirchenvermögen	['Kirchenvermögen']	kein_Trinken			Kirchenvermögen	kein_Trinken	kein_Trinken
PA02270	An-sinnen	Ansinnen	Substantiv	-	Ansinnen	['Ansinnen']	kein_Trinken			Ansinnen	kein_Trinken	kein_Trinken
PM01335	Meckes, Mekes	Meckes, Mekes	Substantiv	'2.2b	im Wachstum zurückgebliebenes Tier	['im Wachstum zurückgebliebenes Tier']	kein_Trinken					
PN01043	neun-eckig	neuneckig	Adjektiv	x1c	faul, ungefällig	['faul', 'ungefällig']	kein_Trinken					
PA03359	auf-springen	aufspringen	Verb	4b	aufbersten	['aufbersten']	kein_Trinken			aufbersten	kein_Trinken	kein_Trinken
PB01591	be-gehren	begehren	Verb	-	begehren	['begehren']	kein_Trinken			begehren	kein_Trinken	kein_Trinken
PB02119	be-ruhigen	beruhigen	Verb	-	nach einer Aufregung ruhig werden	['nach einer Aufregung ruhig werden']	kein_Trinken					
PN00735	Nebel-macher	Nebelmacher	Substantiv	-	wer Darmwinde streichen läßt	['wer Darmwinde streichen läßt']	kein_Trinken					
PA00823	ab-treten	abtreten	Verb	1c	überlassen, freiwillig abgeben	['überlassen', 'freiwillig abgeben']	kein_Trinken					
PB04621	Blut-sturz	Blutsturz	Substantiv	-	Blutsturz	['Blutsturz']	kein_Trinken			Blutsturz	kein_Trinken	kein_Trinken
PH07312	Hunger-panz	Hungerpanz	Substantiv	-	Geizhals	['Geizhals']	kein_Trinken			Geizhals	kein_Trinken	kein_Trinken
PG03137	Glan-rasse	Glanrasse	Substantiv	-	eine im Glantal gezüchtete Rindviehrasse	['eine im Glantal gezüchtete Rindviehrasse']	kein_Trinken					
PH06042	Hohl-meißel	Hohlmeißel	Substantiv	-	Meißel mit ausgehöhlter Schneide	['Meißel mit ausgehöhlter Schneide']	kein_Trinken					
PS04573	Schneller-bogen	Schnellerbogen	Substantiv	-	Armbrust als Spielzeug der Jungen	['Armbrust als Spielzeug der Jungen']	kein_Trinken					
PS10548	Stelle	Stelle	Substantiv	1	Ort, Platz	['Ort', 'Platz']	kein_Trinken					
PG03098	Giraffe	Giraffe	Substantiv	2a	überaus große Person	['überaus große Person']	kein_Trinken					
PH04101	Herz-drücker	Herzdrücker	Substantiv	1b	Kartoffeln	['Kartoffeln']	kein_Trinken			Kartoffeln	kein_Trinken	kein_Trinken
PN00539	Näppes	Näppes	Substantiv	-	kleiner Mann	['kleiner Mann']	kein_Trinken					
PG00438	Garn-sack	Garnsack	Substantiv	-	Fangnetz für Vögel	['Fangnetz für Vögel']	kein_Trinken					
PS11515	Strang-schläger	Strangschläger	Substantiv	-	Pferd, das die Unart hat, über die Stränge zu schlagen	['Pferd, das die Unart hat', 'über die Stränge zu schlagen']	kein_Trinken					
PG00626	Gattings-kuh	Gattingskuh	Substantiv	-	passende Kuh	['passende Kuh']	kein_Trinken					
PB05524	Brach-wiese	Brachwiese	Substantiv	-	auf Brachland angelegte Wiese	['auf Brachland angelegte Wiese']	kein_Trinken					
PB01849	Belgier	Belgier	Substantiv	-	Name einer Pferderasse (schweres Pferd)	['Name einer Pferderasse (schweres Pferd)']	kein_Trinken					
PR01351	Reiter-schule	Reiterschule	Substantiv	-	Karussell	['Karussell']	kein_Trinken			Karussell	kein_Trinken	kein_Trinken
PG01551	Gelb-füße	Gelbfüße	Substantiv	x	Neckname	['Neckname']	kein_Trinken			Neckname	kein_Trinken	kein_Trinken
PB06345	Prophet	Prophet	Substantiv	2b	(ü) sachl.	['(ü) sachl.']	kein_Trinken					
PS11314	Stör-näherin	Störnäherin	Substantiv	-	Schneiderin, die ins Haus kommt	['Schneiderin, die ins Haus kommt']	kein_Trinken					
PB07542	bus	bus	Adjektiv	-	tuberkulös (vom Rindvieh)	['tuberkulös (vom Rindvieh)']	kein_Trinken					
PA02292	An-stand	Anstand	Substantiv	2	Anstand auf der Jagd	['Anstand auf der Jagd']	kein_Trinken					
PS12129	Stuben-mücke	Stubenmücke	Substantiv	-	Stubenfliege (Musca domestica)	['Stubenfliege (Musca domestica)']	kein_Trinken					
PN00144	nach-plärren	nachplärren	Verb	x	nachschreien, nachbrüllen	['nachschreien', 'nachbrüllen']	kein_Trinken					
PR00308	ranksen	ranksen	Verb	4b	schimpfen	['schimpfen']	kein_Trinken			schimpfen	kein_Trinken	kein_Trinken
PF04895	vorwärts-gehen	vorwärtsgehen	Verb	-	gut vonstatten gehen, sich günstig entwickeln	['gut vonstatten gehen', 'sich günstig entwickeln']	kein_Trinken					
PS05803	Schurgelchens	Schurgelchens	Substantiv	-	ein Klickerspiel	['ein Klickerspiel']	kein_Trinken					
PH00884	Handel	Handel	Substantiv	1a	Kauf und Verkauf von Waren	['Kauf und Verkauf von Waren']	kein_Trinken					
PE01290	Elends-klamm	Elendsklamm	Substantiv	-	Flurname	['Flurname']	kein_Trinken			Flurname	kein_Trinken	kein_Trinken
PF02667	Ver-zeichnis	Verzeichnis	Substantiv	1	Schulzeugnis	['Schulzeugnis']	kein_Trinken			Schulzeugnis	kein_Trinken	kein_Trinken
PL01760	Leute-schinder	Leuteschinder	Substantiv	1a	reicher Mensch, der die Armen unterdrückt und ausnützt	['reicher Mensch, der die Armen unterdrückt und ausnützt']	kein_Trinken					
PB03162	Pfuhl-pritsche	Pfuhlpritsche	Substantiv	-	Einspännerkarren, auf dem das Jauchefaß transportiert wird	['Einspännerkarren', 'auf dem das Jauchefaß transportiert wird']	kein_Trinken					
PA03467	Auf-zug	Aufzug	Substantiv	1	Vorrichtung zum Heben von Lasten	['Vorrichtung zum Heben von Lasten']	kein_Trinken					
PS12503	sudeln	sudeln	Verb	4b	gleichzeitig regnen und schneien	['gleichzeitig regnen und schneien']	kein_Trinken					
PS04207	schnappen	schnappen	Verb	2b	(durch Kopfnicken) zustimmen, bejahen	['(durch Kopfnicken) zustimmen', 'bejahen']	kein_Trinken					
PS02488	Schinägler	Schinägler	Substantiv	-	Arbeiter	['Arbeiter']	kein_Trinken			Arbeiter	kein_Trinken	kein_Trinken
PB04074	Platsch-maul	Platschmaul	Substantiv	-	wer viel und Schlechtes über andere redet	['wer viel und Schlechtes über andere redet']	kein_Trinken					
PH02525	Heller-zins	Hellerzins	Substantiv	+	Geldleistung in Hellern	['Geldleistung in Hellern']	kein_Trinken					
PS11757	Streuner	Streuner	Substantiv	-	wer draußen herumläuft, herumirrt	['wer draußen herumläuft', 'herumirrt']	kein_Trinken					
PF00630	Faul-lieschen	Faullieschen	Substantiv	-	Akelei	['Akelei']	kein_Trinken			Akelei	kein_Trinken	kein_Trinken
PR01799	Ringel-hafte	Ringelhafte	Substantiv	-	Öse, in die die Hafte eingehängt wird	['Öse', 'in die die Hafte eingehängt wird']	kein_Trinken					
PK01128	Katzen-haar	Katzenhaar	Substantiv	2b	ein nicht näher bezeichnetes Unkraut	['ein nicht näher bezeichnetes Unkraut']	kein_Trinken					
