ID	Lemma	Definition	Konzept	Konzept_gemappt	Antwort_ungültig
PD03110	torkelig	schwankend, bes. durch Trunkenheit	kein_Trinken	Trinken.Alkohol_trinken	
PD03115	Dorn, Dornen	Rausch	kein_Trinken	Trinken.Alkohol_trinken	
PD03321	tot-pitschen	sich (durch Alkohol) tottrinken	kein_Trinken	Trinken.Alkohol_trinken	
PD03327	tot-saufen	sich durch übermäßigen Alkoholgenuß den Tod zuziehen	kein_Trinken	Trinken.Alkohol_trinken	
PD03331	tot-schaskenen	totsaufen	kein_Trinken	Trinken.Alkohol_trinken	
PD03378	tot-trinken	totsaufen	kein_Trinken	Trinken.Alkohol_trinken	
PD03426	Tracht	Alkoholmenge, die zur Trunkenheit führt	kein_Trinken	Trinken.Alkohol_trinken	
PD03461	Traget, Tragets	große Menge getrunkenen Alkohols	kein_Trinken	Trinken.Alkohol_trinken	
PD03538	Traktier	kleine Speisegaststätte	kein_Trinken	kein_Trinken	kein_Trinken
PD03547	Tralla	Delirium	kein_Trinken	kein_Trinken	kein_Trinken
PD03558	Traminer-gesicht	vom Weingenuß gerötetes Gesicht	kein_Trinken	Trinken.Alkohol_trinken	
PD03900	Dreck-butik	unsaubere Gastwirtschaft	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Softdrink	
PD04036	Dreck-wirtschaft	unsaubere Gastwirtschaft	kein_Trinken	kein_Trinken	kein_Trinken
PD04129	drei-drähtig	von sehr starkem Bohnenkaffee	kein_Trinken	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	
PD04166	Drei-läufer	kleiner Rausch, Dreiviertelrausch	kein_Trinken	Trinken.Alkohol_trinken	
PD04224	Tremens	Alkoholrausch	kein_Trinken	Trinken.Alkohol_trinken	
PD04225	Tremens-delirium	Säuferwahn	kein_Trinken	Trinken.Alkohol_trinken	
PD04437	Trinker	Trinker	kein_Trinken	Trinken	
PD04438	trink-fest	trinkfest	kein_Trinken	Trinken.Alkohol_trinken	
PD04444	Trink-stube	Lokal, in dem man Getränke zu sich nimmt	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk	
PD04444	Trink-stube	Stube neben dem Tanzsaal, in der getrunken wird	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk	
PD04447	Trink-zimmer	Stube neben dem Tanzsaal, in der getrunken wird	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk	
PD04612	Tropfs-blech	kleine Brenke, in die das Tropfbier vom Hahn hineintropft	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	
PD04744	Trudel	Bodensatz einer Flüssigkeit, bes. des Kaffees, des Weins	kein_Trinken	[ungültig]	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaffee
PD04804	Trunk	Trunksucht	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	
PD04805	trunken	betrunken	kein_Trinken	Trinken.Alkohol_trinken	
PD04807	Trunken-bold	Trunkenbold	kein_Trinken	Trinken.Alkohol_trinken	
PD04808	Trunk-walter	Trunkenbold	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	
PD04986	Duft	Alkoholrausch	kein_Trinken	Trinken.Alkohol_trinken	
PD05046	Tummel	Rausch	kein_Trinken	Trinken.Alkohol_trinken	
PD05049	Tümmeler	Rausch	kein_Trinken	Trinken.Alkohol_trinken	
PD05184	Dunst	Atem, der nach Alkohol riecht	kein_Trinken	Trinken.Alkohol_trinken	
PD05219	Tüpfen	Gefäß zum Trinken	kein_Trinken	Getränk	
PD05252	Düppes	kleiner Rausch	kein_Trinken	Trinken.Alkohol_trinken	
PD05256	Tur	Saufperiode	kein_Trinken	Durst	
PD05559	turen	seine Sauftur haben	kein_Trinken	Trinken.Alkohol_trinken	
PD05572	Turen-süffer	wer zeitweise dem Trunk ergeben ist, Quartalssäufer	kein_Trinken	Trinken.Alkohol_trinken	
PD05715	Durstel	Trinker	kein_Trinken	[ungültig]	Trinker
PD05747	Dusel	leichter Alkoholrausch	kein_Trinken	Trinken.Alkohol_trinken	
PE00291	eichen	feststellen, wieviel einer auf einen Sitz trinken kann	kein_Trinken	Trinken.Alkohol_trinken	
PE00566	ein-flößen	einflößen	kein_Trinken	Trinken.Alkohol_trinken	
PE00602	ein-gießen	das Glas füllen	kein_Trinken	Trinken.Austrinken	
PE00653	Ein-kehr	Rast im Gasthaus	kein_Trinken	kein_Trinken	kein_Trinken
PE00654	ein-kehren	auf der Reise (auf einem Ausflug) in ein Gasthaus gehen, jemand kurz besuchen	kein_Trinken	kein_Trinken	kein_Trinken
PE00837	Ein-schenke	Schanktisch im Gasthaus	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk	
PE00838	ein-schenken	Getränke eingießen; das Glas gut (schlecht) füllen	kein_Trinken	Trinken	
PE00896	ein-seifen	zu übermäßigem Alkoholgenuß verleiten, vorsätzlich betrunken machen	kein_Trinken	Trinken.Alkohol_trinken	
PE01864	er-geben	zum Trinker werden	kein_Trinken	Trinken.Alkohol_trinken	
PE02405	Extra-stube	Nebenzimmer im Gasthaus für besondere Gäste	kein_Trinken	kein_Trinken	kein_Trinken
PE02410	Extra-zimmer	Nebenzimmer im Gasthaus für besondere Gäste	kein_Trinken	kein_Trinken	kein_Trinken
PF00099	Fahne, Fahnen	Atemgeruch nach Alkoholgenuß	kein_Trinken	Trinken.Alkohol_trinken	
PF00394	Fasanerie	beliebte Einkehrgaststätte bei Zweibr, früher Tiergarten der Herzöge	kein_Trinken	kein_Trinken	kein_Trinken
PF00858	Veit	der Rausch, den man sich antrinkt	kein_Trinken	Trinken.Alkohol_trinken	
PF00862	felbeln	von einem Wirtshaus ins andere gehen	kein_Trinken	Trinken.Alkohol_trinken	
PF00952	Feld-webel	Schaum auf dem Bier	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	
PF00953	Feldwebels-borte	hohe Schaumkrone auf dem Bier	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	
PF01616	ver-katert	müde nach durchzechter Nacht	kein_Trinken	Trinken.Alkohol_trinken	
PF01986	ver-passen	vom Rausch	kein_Trinken	Trinken.Alkohol_trinken	
PF02146	ver-saufen	dem Trunke ergeben, trunksüchtig	kein_Trinken	Trinken.Alkohol_trinken	
PF02146	ver-saufen	von Trunkenheit oder Trunksucht zeugend	kein_Trinken	Trinken.Alkohol_trinken	
PF02228	ver-schmachten	verschmachten	kein_Trinken	Durst	
PF02246	ver-schnäpseln	Geld für Schnaps ausgeben	kein_Trinken	Trinken.Alkohol_trinken	
PF02250	ver-schnäuken	(Geld) für Näschereien ausgeben	kein_Trinken	kein_Trinken	kein_Trinken
PF02529	ver-trinken	für Getränke ausgeben	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk	
PF02659	ver-zapfen, -zäpfen	(durch den Faßzapfen) ausschenken	kein_Trinken	Trinken.Austrinken	
PF02664	ver-zechen	das Geld für Zechgelage ausgeben	kein_Trinken	Trinken.Alkohol_trinken	
PF02796	Fetzen	totaler Rausch	kein_Trinken	Trinken.Alkohol_trinken	
PF02806	Fetzer	Trinker	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	
PF02810	Feucht-lappen	Schimpfwort für einen Trinker	kein_Trinken	Trinken.Alkohol_trinken	
PF03115	Viertel	18 l (bei Schnaps)	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	
PF03298	Fips	Alkoholrausch	kein_Trinken	Trinken.Alkohol_trinken	
PF03608	Flasche, Fläsche	Flasche, Fläsche	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk	
PF03610	Flaschen-bier	Flaschenbier	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	
PF03839	Flemme	Katzenjammer, starkes Unbehagen, Ermattung als Folge des Alkoholgenusses	kein_Trinken	Trinken.Alkohol_trinken	
PF04005	Flöte	schmales Bierglas, 0, 4 l fassend	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	
PF04211	voll	betrunken	kein_Trinken	Trinken.Alkohol_trinken	
PF04237	Vollheit	Trunkenheit	kein_Trinken	Trinken.Alkohol_trinken	
PF04266	Voll-sau	wer sich unmäßig betrinkt, notorischer Trinker	kein_Trinken	Trinken.Alkohol_trinken	
PF04268	Voll-sauf	Säufer, sinnlos Betrunkener	kein_Trinken	Trinken.Alkohol_trinken	
PF04275	voll-ständig	betrunken	kein_Trinken	Trinken.Alkohol_trinken	
PF04281	Voll-zapfen	Trunkenbold, Säufer	kein_Trinken	Trinken.Alkohol_trinken	
PF05230	Friedens-linde	Name eines Gasthauses	kein_Trinken	kein_Trinken	kein_Trinken
PF05513	Früh-schoppen	Frühschoppen	kein_Trinken	Trinken.Alkohol_trinken	
PG00196	Galopp-süffer	wer in kurzer Zeit große Mengen Alkohol konsumiert	kein_Trinken	Trinken.Alkohol_trinken	
PG00579	Gassen-schenke	Schankwirtschaft mit Getränkeausschank, nicht nur an anwesende Gäste	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk	
PG00594	Gast-halter	Inhaber einer Herberge für Durchreisende	kein_Trinken	kein_Trinken	kein_Trinken
PG00595	Gast-haus	Gaststätte mit Übernachtungsmöglichkeit	kein_Trinken	kein_Trinken	kein_Trinken
PG00597	Gast-hof	Gasthaus, in dem auch Pferde und Fuhrwerke eingestellt werden können	kein_Trinken	kein_Trinken	kein_Trinken
PG00605	Gast-stube	Gaststube	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk	
PG00606	Gast-wirt	Gastwirt	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Softdrink	
PG01038	Ge-fälle	vom Trinker	kein_Trinken	Trinken.Alkohol_trinken	
PG01600	Geldbeutel-wäsche	wenn der letzte Pfennig vertrunken wird	kein_Trinken	Trinken.Alkohol_trinken	
PG01719	Gelze	leichterer Rausch	kein_Trinken	Trinken.Alkohol_trinken	
PG02844	Gewohnheits-säufer, -süffer	notorischer Trinker	kein_Trinken	Trinken.Alkohol_trinken	
PG02845	Gewohnheits-trinker	notorischer Trinker	kein_Trinken	Trinken.Alkohol_trinken	
PG03002	Gift-hütte	schlechtes Gasthaus	kein_Trinken	kein_Trinken	kein_Trinken
PG03400	Gluckelchen, Gluckel	Trinkflasche	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk	
PG03418	Gluckser, Glückser	kleine Branntweinflasche	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	
PG03861	granaten-voll	stark betrunken	kein_Trinken	Trinken.Alkohol_trinken	
PG04203	Grind-kopf	abwertend von einem kleinen Bierfaß	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	
PG04258	Grob-wirt	unhöflicher Gastwirt	kein_Trinken	kein_Trinken	kein_Trinken
PG04284	Groschen-falle	Gastwirtschaft, in der man den letzten Groschen ausgibt	kein_Trinken	kein_Trinken	kein_Trinken
PH00014	Haar-beutel	Alkoholrausch	kein_Trinken	Trinken.Alkohol_trinken	
PH00103	Haar-zopf	Alkoholrausch	kein_Trinken	Trinken.Alkohol_trinken	
PH00263	Hafer, Hafern	Alkoholrausch	kein_Trinken	Trinken.Alkohol_trinken	
PH00361	hagel-voll	stark betrunken	kein_Trinken	Trinken.Alkohol_trinken	
